hs12629 ENSG00000138083
hs12444 ENSG00000164600
hs12447 ENSG00000113712
hs12446 ENSG00000128335
hs12449 ENSG00000152022
hs12448 ENSG00000134830
hs16568 ENSG00000139780
hs16569 ENSG00000182501
hs16566 CAB66807.1
hs16567 DIP:5746N ENSG00000119630
hs16564 ENSG00000183638
hs16565 AAH13991.1
hs16562 ENSG00000170899
hs16563 ENSG00000079257
hs16560 ENSG00000186652 P13727
hs16561 ENSG00000165698
hs21317 ENSG00000130312
hs21316 ENSG00000164405
hs21315 ENSG00000160345
hs21314 ENSG00000163202 ENSG00000185966
hs21313 ENSG00000197528
hs21312 ENSG00000198486
hs21311 ENSG00000182367
hs21310 ENSG00000170983
hs21319 ENSG00000153851
hs21318 ENSG00000129277
hs6588 ENSG00000169026
hs6589 ENSG00000104824
hs6586 ENSG00000159259
hs6587 ENSG00000087495
hs6584 ENSG00000077264
hs6585 ENSG00000141429
hs6582 ENSG00000010295
hs6583 ENSG00000160838
hs6580 ENSG00000127903
hs6581 ENSG00000144815
hs15149 ENSG00000111671
hs15148 ENSG00000129824
hs15145 ENSG00000197227
hs15144 ENSG00000185561
hs15147 ENSG00000164485
hs15146 ENSG00000048140
hs15141 ENSG00000126882
hs15140 ENSG00000100100
hs15143 ENSG00000188529 ENSG00000189416
hs15142 ENSG00000179766
hs3404 ENSG00000185019
hs7184 ENSG00000077498
hs3406 ENSG00000181342
hs3407 ENSG00000183751 NP_006444.2
hs3400 ENSG00000168394
hs3401 P22607 DIP:4016N ENSG00000068078
hs3402 ENSG00000053900
hs3403 ENSG00000109265
hs3408 ENSG00000112118
hs3409 ENSG00000110048
hs1808 ENSG00000138346
hs1809 ENSG00000130699
hs1806 DIP:24206N ENSG00000169679
hs1807 ENSG00000103326
hs1804 ENSG00000198826
hs1805 ENSG00000107036
hs1802 ENSG00000127311
hs1803 ENSG00000112992
hs1800 ENSG00000196235 NP_038704.1
hs1801 ENSG00000155313
hs7239 ENSG00000030419
hs7238 AAC35284.1 NP_004951.1 ENSG00000089280
hs7237 ENSG00000100829
hs7236 ENSG00000182173
hs7235 ENSG00000185005
hs7234 ENSG00000163660
hs7233 ENSG00000187098
hs7232 ENSG00000158113
hs7231 DIP:76N ENSG00000116701 DIP:17025N
hs7230 ENSG00000100479 P56282
hs14238 ENSG00000182442
hs14239 ENSG00000166111
hs14234 ENSG00000184544
hs14235 ENSG00000112576 NP_001751.1
hs14236 ENSG00000013392
hs14237 ENSG00000110917
hs14230 ENSG00000155100
hs14231 ENSG00000103260
hs14232 ENSG00000136147
hs14233 ENSG00000155508
hs8401 ENSG00000172239
hs8400 ENSG00000148680
hs8403 ENSG00000122863
hs8402 ENSG00000117020
hs8405 ENSG00000196605
hs8404 ENSG00000161940
hs8407 ENSG00000138032
hs8406 ENSG00000188916
hs8409 ENSG00000165695
hs8408 ENSG00000064545
hs2074 ENSG00000196335
hs7325 CAD39089.1
hs3665 ENSG00000167895
hs7327 DIP:3156N ENSG00000124334
hs3667 ENSG00000197362
hs3660 ENSG00000148180 DIP:2196N
hs3661 ENSG00000166750
hs7323 ENSG00000177272
hs3663 ENSG00000165934
hs13275 ENSG00000171833
hs5270 ENSG00000148948
hs5273 ENSG00000149260
hs13276 ENSG00000130538 ENSG00000196143
hs5275 ENSG00000118985
hs5274 ENSG00000023330
hs9758 ENSG00000198049
hs9759 ENSG00000168038
hs9756 ENSG00000107643
hs9757 ENSG00000123136
hs9754 ENSG00000185420
hs9755 ENSG00000182694 ENSG00000182291
hs9752 ENSG00000123700
hs9753 ENSG00000126456
hs9750 ENSG00000075239
hs9751 ENSG00000183285
hs4667 ENSG00000157765
hs8169 ENSG00000115806
hs4669 ENSG00000139517
hs8167 ENSG00000104974
hs5495 ENSG00000188021
hs5494 ENSG00000137702
hs5497 ENSG00000078795
hs5496 ENSG00000131263
hs5491 ENSG00000188459
hs5490 ENSG00000178966
hs5493 ENSG00000113282
hs5492 ENSG00000099899
hs5499 ENSG00000079999
hs5498 ENSG00000113812
hs2728 ENSG00000130997
hs2729 ENSG00000133131
hs2726 ENSG00000198879
hs2727 ENSG00000168152
hs2724 ENSG00000133226
hs2725 ENSG00000129680
hs2722 ENSG00000164877
hs2723 ENSG00000099219
hs2720 ENSG00000179571
hs2721 ENSG00000181433
hs3899 ENSG00000174807
hs3898 ENSG00000105664
hs3897 ENSG00000131398
hs3896 ENSG00000116688
hs3895 ENSG00000160208
hs3894 ENSG00000165914
hs3893 ENSG00000152952
hs3892 ENSG00000115486
hs3891 ENSG00000132305
hs3890 ENSG00000187609
hs6919 ENSG00000174607
hs6918 ENSG00000198386
hs6911 ENSG00000112941
hs6910 ENSG00000147905
hs6913 NP_055096.2
hs6912 ENSG00000184999
hs6915 ENSG00000113389
hs6914 ENSG00000115604 DIP:3786N
hs6917 ENSG00000196834
hs6916 ENSG00000113763
hs22239 ENSG00000198845
hs22238 ENSG00000174680
hs22231 DIP:331N
hs22230 ENSG00000175918
hs22233 ENSG00000187851
hs22232 ENSG00000177441
hs22235 ENSG00000198238
hs22234 ENSG00000198426
hs22237 ENSG00000197091
hs22236 ENSG00000187083
hs17019 ENSG00000102678 DIP:6036N
hs17018 DIP:6035N ENSG00000111241
hs17015 ENSG00000138382
hs17014 ENSG00000112312
hs17017 DIP:286N NP_003815.1 ENSG00000168040
hs17016 ENSG00000113070 DIP:114N
hs17011 ENSG00000145107
hs17010 ENSG00000105550
hs17013 ENSG00000196736
hs17012 ENSG00000186653
hs2344 ENSG00000154734
hs2345 ENSG00000166825
hs16768 ENSG00000149600
hs16769 ENSG00000015592
hs16764 ENSG00000198067 ENSG00000197955
hs16765 ENSG00000196380
hs16766 NP_000933.1 ENSG00000166794
hs16767 ENSG00000183542
hs16760 ENSG00000177848
hs16761 ENSG00000129472
hs16762 ENSG00000188971
hs16763 ENSG00000100577
hs2025 ENSG00000100065
hs21256 ENSG00000197197
hs21257 ENSG00000178254
hs21254 NP_004075.1 ENSG00000185918
hs21255 ENSG00000180259
hs21252 ENSG00000188420
hs21253 ENSG00000113811
hs21250 ENSG00000171476
hs21251 ENSG00000164816
hs21258 ENSG00000160678
hs21259 ENSG00000182597
hs10353 ENSG00000023318
hs10352 ENSG00000111962
hs10351 ENSG00000087191
hs10350 ENSG00000163348
hs10357 ENSG00000153250
hs10356 ENSG00000111666
hs10355 ENSG00000187827
hs10354 ENSG00000133488
hs10359 ENSG00000110876
hs10358 ENSG00000116885
hs19336 ENSG00000168887
hs19337 ENSG00000101439
hs19334 ENSG00000157093
hs19335 ENSG00000172460
hs19332 ENSG00000185986
hs19333 ENSG00000180135
hs19330 ENSG00000130612
hs19331 ENSG00000103018
hs19338 ENSG00000106603
hs19339 ENSG00000158825
hs20259 ENSG00000112447
hs20258 ENSG00000196412
hs21924 ENSG00000198725
hs21925 ENSG00000198773
hs21926 ENSG00000180769
hs21927 ENSG00000196827
hs21920 ENSG00000157033
hs21921 ENSG00000162699
hs21922 ENSG00000197290
hs21923 ENSG00000186012
hs21928 ENSG00000186756
hs21929 ENSG00000197823
hs20255 ENSG00000198834 ENSG00000183998
hs20254 ENSG00000196598
hs20257 ENSG00000188666
hs20256 ENSG00000197076 ENSG00000197007 ENSG00000197244
hs20251 ENSG00000183646
hs20250 ENSG00000160131
hs20253 ENSG00000196788
hs20252 ENSG00000197066 ENSG00000197276
hs13073 ENSG00000181001
hs13072 ENSG00000148215
hs13071 ENSG00000187080
hs13070 ENSG00000197029 NP_002127.1
hs13077 ENSG00000167933
hs13076 ENSG00000109445
hs13075 ENSG00000140274
hs13074 ENSG00000127530
hs13079 ENSG00000135838
hs13078 ENSG00000187667
hs116 ENSG00000197410
hs117 ENSG00000138829
hs114 ENSG00000143126
hs115 ENSG00000171634
hs112 ENSG00000172915
hs113 NP_000085.1 ENSG00000114270
hs110 ENSG00000124942
hs111 ENSG00000138162
hs118 ENSG00000166147
hs119 ENSG00000096696
hs6974 ENSG00000163995
hs12126 ENSG00000178804
hs13921 ENSG00000120280
hs13920 ENSG00000154065
hs13923 ENSG00000181457
hs13922 ENSG00000181943
hs13925 ENSG00000084072 NP_006103.1
hs13924 ENSG00000088766
hs13927 ENSG00000197625
hs13926 ENSG00000142546
hs13929 ENSG00000184271
hs13928 ENSG00000188029
hs12127 ENSG00000112619
hs9954 ENSG00000086589
hs9955 ENSG00000146242
hs11569 ENSG00000132840
hs11568 ENSG00000196306
hs9950 ENSG00000137156
hs9951 ENSG00000179556
hs9952 ENSG00000144642
hs9953 ENSG00000175513
hs11563 ENSG00000196725
hs11562 ENSG00000180772
hs11561 ENSG00000106392
hs11560 ENSG00000182782
hs11567 ENSG00000165899
hs11566 ENSG00000155269
hs11565 ENSG00000182906 ENSG00000183027
hs11564 ENSG00000141255
hs6281 ENSG00000173875
hs6280 ENSG00000125731
hs6283 ENSG00000163938
hs6282 BAB14041.1 ENSG00000063245
hs6285 ENSG00000197763
hs6284 ENSG00000121058
hs6287 ENSG00000108852
hs6286 ENSG00000159579
hs6289 ENSG00000011132
hs6288 ENSG00000163376
hs98 ENSG00000111799
hs99 ENSG00000149311 DIP:24193N
hs94 ENSG00000135837
hs95 ENSG00000117724
hs96 ENSG00000038382
hs97 ENSG00000138688
hs90 ENSG00000197386 BAA36753.1
hs91 ENSG00000009413
hs92 ENSG00000183495
hs93 ENSG00000196569
hs17220 ENSG00000163634 AAH20599.1
hs7884 ENSG00000143107
hs7885 ENSG00000183741
hs7886 ENSG00000093134
hs7887 ENSG00000164794
hs7880 ENSG00000121005
hs7881 ENSG00000155380
hs7882 ENSG00000162885
hs7883 ENSG00000186583
hs7888 ENSG00000149131
hs7889 ENSG00000183044
hs2964 ENSG00000146776
hs2965 ENSG00000196820
hs2966 ENSG00000129173
hs2967 ENSG00000177663 DIP:6015N
hs2960 ENSG00000196867
hs2961 ENSG00000163395
hs2962 ENSG00000167202
hs2963 ENSG00000185864
hs2968 ENSG00000088854
hs2969 ENSG00000164134
hs17224 NP_116787.1
hs3615 ENSG00000176994
hs3614 ENSG00000197693
hs3617 ENSG00000128602
hs3616 ENSG00000173757
hs3611 ENSG00000113248
hs3610 ENSG00000115221
hs3613 ENSG00000168116
hs3612 ENSG00000145194
hs3619 ENSG00000006576
hs3618 ENSG00000198586
hs1619 ENSG00000061676
hs1618 ENSG00000118900
hs1617 ENSG00000064999
hs1616 ENSG00000125630
hs1615 ENSG00000187950
hs1614 ENSG00000162687
hs1613 ENSG00000182095
hs1612 ENSG00000050438
hs1611 ENSG00000113318
hs1610 ENSG00000128641
hs4067 NP_002523.2 ENSG00000108559
hs4066 ENSG00000163697
hs4065 ENSG00000154545 ENSG00000187243 NP_110428.2
hs4064 ENSG00000144357
hs4063 ENSG00000152127
hs4062 ENSG00000135828
hs4061 ENSG00000092140
hs4060 ENSG00000121931
hs4069 ENSG00000151553
hs4068 ENSG00000171109
hs14009 ENSG00000113395
hs14008 ENSG00000104889
hs14003 ENSG00000183964
hs14002 ENSG00000072954
hs14001 ENSG00000183800
hs14000 ENSG00000165324
hs14007 ENSG00000177938
hs14006 ENSG00000187684
hs14005 ENSG00000125457
hs14004 ENSG00000132825
hs4391 ENSG00000170734
hs4390 ENSG00000014216
hs4393 ENSG00000135899 NP_536349.1
hs4392 ENSG00000126804
hs4395 ENSG00000187849
hs4394 DIP:397N ENSG00000184216
hs4397 ENSG00000127666
hs4396 ENSG00000139155
hs4399 ENSG00000135387
hs4398 ENSG00000166860
hs4935 ENSG00000196822
hs4934 ENSG00000137166
hs4937 ENSG00000058404
hs4936 ENSG00000159263
hs4931 ENSG00000164398
hs4930 ENSG00000149781
hs4933 ENSG00000137822
hs4932 ENSG00000166454
hs4939 ENSG00000166477
hs4938 ENSG00000131067
hs9549 ENSG00000167949
hs9548 ENSG00000132612
hs9547 ENSG00000163060
hs9546 ENSG00000170054
hs9545 ENSG00000196396
hs9544 ENSG00000161203
hs9543 ENSG00000164815
hs9542 ENSG00000183356
hs9541 DIP:17017N
hs9540 DIP:2928N ENSG00000111321 DIP:6234N
hs2579 ENSG00000105376
hs2578 ENSG00000172403
hs2577 ENSG00000109452
hs2576 ENSG00000011275
hs2575 ENSG00000116198
hs2574 ENSG00000112685
hs2573 ENSG00000158941
hs2572 ENSG00000103426
hs2571 ENSG00000197594
hs2570 ENSG00000111581
hs21380 ENSG00000197462
hs5507 ENSG00000154655
hs5505 ENSG00000079335
hs11105 ENSG00000170144
hs11104 ENSG00000104218
hs3323 ENSG00000162848
hs3322 ENSG00000106009
hs11101 ENSG00000189195
hs11100 ENSG00000176597
hs3327 ENSG00000102900
hs11102 ENSG00000189224 ENSG00000189013
hs18920 ENSG00000181108
hs18921 ENSG00000197877
hs22068 ENSG00000182306
hs22069 ENSG00000178365
hs22060 ENSG00000196303
hs22061 ENSG00000178446
hs22062 ENSG00000196683
hs22063 ENSG00000178589
hs22064 ENSG00000118245
hs22065 ENSG00000179033
hs22066 ENSG00000189279
hs22067 ENSG00000182170
hs5910 ENSG00000121988
hs18929 ENSG00000112514
hs12238 ENSG00000161267
hs12239 ENSG00000170236
hs17608 ENSG00000175183
hs17609 ENSG00000182816
hs12232 ENSG00000125352
hs12233 ENSG00000163568
hs12230 ENSG00000142039
hs12231 ENSG00000134025
hs12236 ENSG00000109851
hs12237 ENSG00000106331
hs12234 ENSG00000128203
hs12235 ENSG00000170632
hs19516 ENSG00000197430
hs19517 ENSG00000184468
hs19514 ENSG00000160816
hs19515 ENSG00000197736 ENSG00000197477
hs19512 ENSG00000198193
hs19513 ENSG00000132406
hs19510 ENSG00000174886
hs19511 ENSG00000105205
hs11761 ENSG00000115953
hs11760 ENSG00000127423
hs11763 ENSG00000158955
hs11762 ENSG00000168300
hs11765 ENSG00000178217
hs11764 ENSG00000101892
hs11767 ENSG00000013588
hs11766 ENSG00000140263
hs6844 ENSG00000168802
hs10498 ENSG00000149927
hs10499 ENSG00000196600
hs20334 ENSG00000179024
hs20335 ENSG00000197740
hs20332 ENSG00000172590
hs20333 ENSG00000165511
hs20330 ENSG00000157778
hs20331 ENSG00000171388
hs10490 ENSG00000163162
hs10491 NP_057622.1 ENSG00000183010 ENSG00000187531
hs10492 ENSG00000166240
hs10493 ENSG00000089127
hs10494 ENSG00000114354 NP_006061.2
hs10495 ENSG00000197471
hs10496 ENSG00000100012
hs10497 ENSG00000188463
hs736 ENSG00000145147
hs737 ENSG00000010322
hs734 ENSG00000048342
hs735 ENSG00000116580
hs732 ENSG00000100578
hs733 ENSG00000134160
hs730 ENSG00000052758
hs731 ENSG00000167210
hs738 ENSG00000164741
hs739 ENSG00000108846
hs16265 ENSG00000187630
hs7130 ENSG00000163749
hs16267 ENSG00000172294 ENSG00000172342
hs16266 ENSG00000184631
hs7718 ENSG00000133808
hs7719 ENSG00000186310
hs16263 ENSG00000196784
hs16262 ENSG00000121207
hs7714 DIP:145N
hs7715 ENSG00000172817
hs7716 ENSG00000134294
hs7717 ENSG00000122870
hs7710 ENSG00000124813
hs7711 ENSG00000100299
hs7712 ENSG00000134077
hs7713 ENSG00000139910
hs10142 ENSG00000136193
hs10143 ENSG00000162398
hs10140 ENSG00000186153
hs7133 ENSG00000009790
hs10146 ENSG00000172954
hs10147 ENSG00000185551
hs10144 ENSG00000187189
hs10145 ENSG00000152953
hs7134 ENSG00000196358
hs10148 ENSG00000165501
hs10149 ENSG00000179800
hs7135 ENSG00000056487
hs7136 ENSG00000105321
hs18399 ENSG00000163826
hs18398 ENSG00000172760
hs18397 ENSG00000167286
hs18396 ENSG00000111536
hs18395 ENSG00000133639
hs18394 ENSG00000197398
hs18393 ENSG00000095932
hs18392 ENSG00000151353
hs18391 ENSG00000170807
hs18390 NP_006326.1 ENSG00000134375
hs15518 ENSG00000080822
hs15519 ENSG00000177697
hs15512 ENSG00000147439
hs15513 ENSG00000198032
hs15510 ENSG00000197766 CAC48304.1
hs15511 ENSG00000122584
hs15516 ENSG00000172315
hs15517 ENSG00000140391
hs15514 ENSG00000188439
hs15515 ENSG00000169035
hs1459 DIP:750N
hs1458 ENSG00000007516
hs1455 DIP:1062N ENSG00000105397
hs1454 ENSG00000083093
hs1457 ENSG00000189056
hs1456 ENSG00000152104
hs1451 ENSG00000198531
hs1450 ENSG00000137841
hs1453 ENSG00000156414
hs1452 ENSG00000145868
hs14649 ENSG00000066322
hs14648 ENSG00000173867
hs14641 ENSG00000186090
hs14640 ENSG00000124120
hs14643 ENSG00000196449
hs14642 ENSG00000126773
hs14645 ENSG00000069849
hs14644 NP_006109.2 ENSG00000143575
hs14647 ENSG00000168004
hs14646 ENSG00000043039
hs1187 ENSG00000166716
hs1186 ENSG00000173706
hs1185 ENSG00000115677
hs1184 NP_002009.1 ENSG00000177731
hs1183 ENSG00000075391
hs1182 ENSG00000160710
hs1181 ENSG00000146216
hs1180 ENSG00000128596
hs1189 ENSG00000152990
hs1188 ENSG00000181090
hs5608 ENSG00000187239
hs5609 ENSG00000103546
hs5604 ENSG00000184208
hs5605 ENSG00000150980
hs5606 ENSG00000186575
hs5607 ENSG00000102195
hs5600 ENSG00000110330
hs5601 ENSG00000022567
hs5602 ENSG00000115085
hs5603 ENSG00000140983
hs12171 ENSG00000183715
hs12170 ENSG00000091583
hs12173 ENSG00000052344
hs12172 ENSG00000164124
hs12175 ENSG00000146383
hs12174 ENSG00000145431
hs12177 ENSG00000109787
hs12176 ENSG00000107262
hs12179 ENSG00000108813
hs12178 ENSG00000176678
hs2377 ENSG00000060069
hs2376 ENSG00000197402
hs2371 ENSG00000143434
hs2370 ENSG00000131023
hs2373 ENSG00000099889
hs2372 ENSG00000141376
hs8928 ENSG00000183137
hs8929 ENSG00000072135
hs8922 ENSG00000137403
hs8923 ENSG00000142920
hs8920 AAC32904.1
hs8921 ENSG00000124217
hs8926 NP_057207.1 ENSG00000198001
hs8927 ENSG00000182150
hs8924 ENSG00000198551
hs8925 ENSG00000168539
hs9037 ENSG00000177858
hs9036 ENSG00000035687
hs9035 ENSG00000156584
hs9034 ENSG00000175792 NP_003698.1
hs9033 ENSG00000166682
hs9032 ENSG00000168612
hs9031 ENSG00000196073
hs9030 ENSG00000165792
hs9039 DIP:6245N DIP:407N ENSG00000067182
hs9038 ENSG00000144837
hs3134 ENSG00000119707
hs3135 ENSG00000100994
hs3136 ENSG00000168646
hs3137 ENSG00000095539
hs3130 ENSG00000168944
hs3131 ENSG00000100726 BAA31658.2
hs3132 ENSG00000163637
hs3133 ENSG00000112936
hs3138 ENSG00000138081
hs3139 ENSG00000101596
hs15251 ENSG00000168129
hs15250 ENSG00000041357
hs15253 ENSG00000089248
hs15252 ENSG00000178031
hs15255 ENSG00000116096
hs15254 ENSG00000177854
hs15257 AAH15904.1
hs15256 ENSG00000108439
hs15259 ENSG00000197602
hs15258 ENSG00000063854
hs4214 ENSG00000019991
hs4215 ENSG00000127241
hs4216 ENSG00000130821
hs4217 ENSG00000072201
hs4210 ENSG00000010017
hs4211 ENSG00000163930
hs4212 ENSG00000163406
hs4213 AAC15093.1
hs4218 ENSG00000134709
hs4219 ENSG00000152503
hs5165 ENSG00000004700
hs5164 ENSG00000166828
hs5167 ENSG00000105699
hs5166 ENSG00000152193
hs5161 ENSG00000125848
hs5160 ENSG00000125746
hs5163 ENSG00000174678
hs5162 ENSG00000141994
hs5169 CAD38723.1
hs5168 ENSG00000156222
hs861 ENSG00000048649
hs866 ENSG00000106948
hs4343 ENSG00000100941 AAF17209.1
hs4340 ENSG00000095066
hs4341 ENSG00000163833
hs8029 ENSG00000198077
hs8028 ENSG00000143149
hs8027 ENSG00000101076
hs8026 ENSG00000145882
hs8025 ENSG00000187122
hs8024 ENSG00000181619
hs8023 ENSG00000123552
hs8022 ENSG00000152518
hs8021 ENSG00000175634
hs8020 ENSG00000078487
hs431 ENSG00000140853
hs430 ENSG00000100241
hs433 ENSG00000150760
hs432 ENSG00000174485
hs435 ENSG00000122778
hs434 ENSG00000092439
hs437 DIP:5971N ENSG00000012048
hs436 ENSG00000170921
hs439 ENSG00000107862
hs438 ENSG00000196739
hs389 ENSG00000006788
hs388 ENSG00000109061
hs387 ENSG00000141048
hs386 ENSG00000197616
hs385 ENSG00000109063
hs384 ENSG00000125414
hs383 ENSG00000101639
hs382 ENSG00000198265
hs381 ENSG00000153107
hs380 ENSG00000144821
hs20516 ENSG00000189153
hs20517 ENSG00000186269
hs20514 ENSG00000174917
hs20515 ENSG00000198602
hs20512 ENSG00000163182
hs20513 ENSG00000172586
hs20510 ENSG00000186207
hs20511 ENSG00000183687 ENSG00000198866
hs20518 ENSG00000160268
hs20519 ENSG00000135185
hs12379 ENSG00000166451
hs12378 ENSG00000100104
hs12377 ENSG00000166275
hs12376 ENSG00000112592 NP_003185.1
hs12375 ENSG00000089289
hs12374 ENSG00000064961
hs12373 ENSG00000148218
hs12372 ENSG00000164647
hs12371 ENSG00000174473
hs12370 ENSG00000144677
hs16878 ENSG00000108433
hs16879 ENSG00000100526 DIP:245N DIP:24231N
hs16874 ENSG00000184897
hs5200 ENSG00000156050
hs16876 ENSG00000151327
hs16877 ENSG00000187891
hs16870 ENSG00000182534
hs16871 ENSG00000128322
hs16872 ENSG00000083937 NP_054762.1
hs16873 ENSG00000155961
hs17479 ENSG00000179213
hs17478 ENSG00000143774
hs17473 ENSG00000189362
hs17472 ENSG00000111732
hs17471 ENSG00000178620
hs17470 ENSG00000101888
hs17477 ENSG00000186471
hs17476 ENSG00000125900
hs17475 ENSG00000155959
hs17474 ENSG00000101220
hs21399 ENSG00000184902
hs21398 ENSG00000100575
hs21397 ENSG00000169900
hs21396 ENSG00000124854
hs21395 ENSG00000185962
hs21394 NP_003737.1 ENSG00000088986
hs21393 ENSG00000121351
hs21392 ENSG00000198227
hs21391 ENSG00000146111
hs21390 ENSG00000178602
hs19499 ENSG00000198559
hs19498 ENSG00000110680
hs19493 ENSG00000185481
hs19492 ENSG00000196072
hs19491 NP_054769.1 ENSG00000198015
hs19490 ENSG00000154518
hs19497 NP_005323.1
hs19496 ENSG00000100216
hs19495 ENSG00000177744
hs19494 ENSG00000103187
hs3332 ENSG00000135407
hs3333 ENSG00000168615
hs3330 ENSG00000154654
hs3331 ENSG00000163166
hs3336 ENSG00000171815
hs3337 ENSG00000159337
hs3334 ENSG00000150093
hs3335 ENSG00000109572
hs3338 ENSG00000169129
hs3339 ENSG00000170949
hs19725 ENSG00000143553 NP_036569.1
hs19724 ENSG00000185644
hs19727 ENSG00000178882
hs19726 ENSG00000060303
hs19721 ENSG00000175611
hs19720 ENSG00000177800
hs19723 ENSG00000170891
hs19722 ENSG00000111780
hs11130 ENSG00000165526
hs11131 ENSG00000175591
hs11132 ENSG00000103021 NP_054876.2
hs11133 ENSG00000166130
hs19729 ENSG00000196886
hs19728 ENSG00000184785
hs11136 ENSG00000147099
hs11137 ENSG00000188582
hs10843 ENSG00000186197
hs10842 ENSG00000158470
hs10841 ENSG00000101346
hs10840 AAC78395.1 ENSG00000120500
hs10847 ENSG00000147036
hs10846 ENSG00000163114
hs10845 ENSG00000147509
hs10844 ENSG00000172647 ENSG00000180860
hs10849 ENSG00000177692
hs10848 ENSG00000106031
hs7187 NP_001677.2 ENSG00000110955
hs7186 ENSG00000188033
hs6678 ENSG00000177932
hs6679 ENSG00000136770
hs1230 ENSG00000124571
hs6674 ENSG00000128011
hs6675 BAC03480.1
hs6676 ENSG00000109158
hs6677 ENSG00000130818
hs6670 ENSG00000169727
hs6671 ENSG00000180644
hs6672 ENSG00000176945
hs6673 ENSG00000173013
hs3488 ENSG00000177324
hs3489 ENSG00000075945
hs3484 ENSG00000099338
hs3485 ENSG00000188120
hs3486 ENSG00000150394
hs3487 ENSG00000141384
hs3480 ENSG00000167615
hs3481 ENSG00000148835
hs3482 DIP:5716N
hs3483 ENSG00000136141
hs22096 ENSG00000172965 ENSG00000184943
hs7189 ENSG00000168032
hs7188 ENSG00000165831
hs10267 ENSG00000144010
hs10266 ENSG00000031544
hs10265 ENSG00000137343
hs10264 ENSG00000156017
hs10263 ENSG00000119318
hs10262 ENSG00000151360
hs10261 ENSG00000176615
hs10260 ENSG00000184307
hs10269 ENSG00000151233
hs10268 ENSG00000188583
hs18454 ENSG00000100300
hs18455 ENSG00000177153
hs18456 ENSG00000121579
hs18457 ENSG00000183176
hs18450 ENSG00000184550
hs18451 ENSG00000175197
hs18452 ENSG00000178870
hs18453 ENSG00000198729
hs18458 ENSG00000131143
