mm7412 ENSMUSG00000040471
mm10369 ENSMUSG00000066948
mm10368 ENSMUSG00000066867
mm6993 ENSMUSG00000043566
mm10361 ENSMUSG00000057145
mm10360 ENSMUSG00000024696
mm10363 ENSMUSG00000027887
mm10362 ENSMUSG00000049511
mm10365 ENSMUSG00000038215
mm10364 ENSMUSG00000005813
mm10367 ENSMUSG00000030168
mm10366 ENSMUSG00000031479
mm12213 ENSMUSG00000023391
mm12212 ENSMUSG00000030763
mm12211 ENSMUSG00000020214
mm12210 ENSMUSG00000063968
mm12217 ENSMUSG00000047259
mm12216 ENSMUSG00000021445
mm12215 ENSMUSG00000030851
mm12214 ENSMUSG00000029683
mm11090 ENSMUSG00000064280
mm11091 ENSMUSG00000042118
mm12219 ENSMUSG00000056379
mm12218 ENSMUSG00000044828
mm11094 ENSMUSG00000030162
mm11095 ENSMUSG00000059021
mm11096 ENSMUSG00000022177
mm11097 ENSMUSG00000055313
mm7999 ENSMUSG00000027610
mm7998 ENSMUSG00000021430
mm7993 ENSMUSG00000002820
mm7992 ENSMUSG00000020541
mm7991 ENSMUSG00000015568
mm7990 ENSMUSG00000026988
mm7997 ENSMUSG00000028656
mm7996 ENSMUSG00000055882
mm7995 ENSMUSG00000029212
mm7994 ENSMUSG00000023925
mm20919 ENSMUSG00000066205 ENSMUSG00000066215
mm20918 ENSMUSG00000026655
mm20915 ENSMUSG00000031513
mm20914 ENSMUSG00000044574
mm20917 ENSMUSG00000048266
mm20916 ENSMUSG00000068044
mm20911 ENSMUSG00000053735
mm20910 ENSMUSG00000052239
mm20913 ENSMUSG00000050797
mm20912 ENSMUSG00000022993
mm5735 ENSMUSG00000032515
mm5734 ENSMUSG00000034706
mm5737 ENSMUSG00000059811
mm5736 ENSMUSG00000046073
mm5731 ENSMUSG00000024558
mm5730 ENSMUSG00000003665
mm5733 ENSMUSG00000033216
mm5732 ENSMUSG00000026993
mm5739 ENSMUSG00000004500
mm5738 ENSMUSG00000021023
mm1298 ENSMUSG00000020826
mm1299 ENSMUSG00000022558
mm1292 ENSMUSG00000044006
mm1293 ENSMUSG00000021983
mm1290 ENSMUSG00000020654
mm1291 ENSMUSG00000027130
mm1296 ENSMUSG00000024593
mm1297 ENSMUSG00000020074
mm1294 ENSMUSG00000062232
mm1295 ENSMUSG00000022377
mm11542 ENSMUSG00000067665
mm11543 ENSMUSG00000030920
mm11540 ENSMUSG00000030224
mm11541 ENSMUSG00000031749
mm11546 ENSMUSG00000052456
mm11547 ENSMUSG00000049130
mm11544 ENSMUSG00000026627
mm11545 ENSMUSG00000049184
mm3672 ENSMUSG00000047773
mm3673 ENSMUSG00000022708
mm11548 ENSMUSG00000065962
mm11549 ENSMUSG00000052909
mm3676 ENSMUSG00000052912
mm3677 ENSMUSG00000044702
mm3674 ENSMUSG00000022385
mm3675 ENSMUSG00000018604
mm9739 ENSMUSG00000023883
mm9738 ENSMUSG00000020178
mm1126 ENSMUSG00000030323
mm1127 ENSMUSG00000038453
mm16015 ENSMUSG00000047069
mm16014 ENSMUSG00000040284
mm16017 ENSMUSG00000025069
mm16016 ENSMUSG00000044048
mm16019 ENSMUSG00000027566
mm16018 ENSMUSG00000020116
mm9733 ENSMUSG00000034913
mm9732 ENSMUSG00000002803
mm9735 ENSMUSG00000019278
mm9734 ENSMUSG00000008734
mm9737 ENSMUSG00000040913
mm9736 ENSMUSG00000000154
mm19475 ENSMUSG00000030917
mm8066 ENSMUSG00000064140
mm8067 ENSMUSG00000009596
mm8064 ENSMUSG00000050578
mm8065 ENSMUSG00000067784
mm8062 ENSMUSG00000012519
mm8063 ENSMUSG00000005583
mm8060 ENSMUSG00000017707
mm8061 ENSMUSG00000043811
mm23587 ENSMUSG00000054711
mm23586 ENSMUSG00000031757
mm23585 ENSMUSG00000067397
mm23584 ENSMUSG00000068880
mm23583 ENSMUSG00000067553
mm23582 ENSMUSG00000051802
mm8068 ENSMUSG00000041449
mm8069 ENSMUSG00000022382
mm7603 ENSMUSG00000023908
mm7602 ENSMUSG00000058900
mm7601 ENSMUSG00000036913
mm7600 ENSMUSG00000049382
mm7607 ENSMUSG00000003053
mm7606 ENSMUSG00000068347
mm7605 ENSMUSG00000067231
mm7604 ENSMUSG00000025002
mm7609 ENSMUSG00000032808
mm7608 ENSMUSG00000055027
mm22184 ENSMUSG00000043248
mm22185 ENSMUSG00000055425
mm22186 ENSMUSG00000046005
mm22187 ENSMUSG00000052236
mm22180 ENSMUSG00000035804
mm22181 ENSMUSG00000067345
mm22182 ENSMUSG00000055704
mm22183 ENSMUSG00000020635
mm22188 ENSMUSG00000054747
mm22189 ENSMUSG00000049325
mm17650 ENSMUSG00000068090 ENSMUSG00000047714
mm17651 ENSMUSG00000020514
mm17652 ENSMUSG00000060311
mm17653 ENSMUSG00000037574
mm17654 ENSMUSG00000021928
mm17655 ENSMUSG00000028040
mm17656 ENSMUSG00000022773
mm17657 ENSMUSG00000042454
mm17658 ENSMUSG00000028359
mm17659 ENSMUSG00000021485
mm24809 ENSMUSG00000069691
mm24808 ENSMUSG00000068059
mm24807 ENSMUSG00000069459
mm24806 ENSMUSG00000069692
mm24805 ENSMUSG00000069219
mm24804 ENSMUSG00000069517
mm24803 ENSMUSG00000066502
mm24802 ENSMUSG00000069344
mm24801 ENSMUSG00000069699
mm24800 ENSMUSG00000067611
mm15658 ENSMUSG00000049107 DIP:5721N
mm15659 ENSMUSG00000057229
mm22238 ENSMUSG00000046711
mm22239 ENSMUSG00000059516
mm22236 ENSMUSG00000029142
mm22237 ENSMUSG00000066548
mm22234 ENSMUSG00000038015
mm22235 ENSMUSG00000067074
mm22232 ENSMUSG00000021591
mm22233 ENSMUSG00000057812
mm22230 ENSMUSG00000038218
mm22231 ENSMUSG00000031200
mm6550 ENSMUSG00000022559
mm6551 ENSMUSG00000062184
mm6552 ENSMUSG00000017897
mm6553 ENSMUSG00000056485
mm6554 ENSMUSG00000025728
mm6555 ENSMUSG00000059891
mm6556 ENSMUSG00000030619
mm6557 ENSMUSG00000025372
mm6558 ENSMUSG00000026110
mm6559 ENSMUSG00000026415
mm18556 ENSMUSG00000042559
mm18557 ENSMUSG00000056584
mm18554 ENSMUSG00000047926
mm18555 ENSMUSG00000063507
mm18552 ENSMUSG00000030790
mm18553 ENSMUSG00000068736
mm18550 ENSMUSG00000046688
mm18551 ENSMUSG00000050009
mm18558 ENSMUSG00000068530
mm18559 ENSMUSG00000035796 ENSMUSG00000024026
mm19685 ENSMUSG00000010840
mm19684 ENSMUSG00000066060
mm19687 ENSMUSG00000026983
mm19686 ENSMUSG00000035104
mm19681 ENSMUSG00000027679
mm19680 ENSMUSG00000054990
mm19683 ENSMUSG00000069153
mm19682 ENSMUSG00000029331
mm19689 ENSMUSG00000067039
mm19688 ENSMUSG00000067387
mm18880 ENSMUSG00000066735
mm18881 ENSMUSG00000060634
mm18882 ENSMUSG00000029265
mm18883 ENSMUSG00000059515
mm18884 ENSMUSG00000048366
mm18885 ENSMUSG00000060685
mm14309 ENSMUSG00000045973
mm14308 ENSMUSG00000035618
mm18888 ENSMUSG00000063911
mm14306 ENSMUSG00000020652
mm14305 ENSMUSG00000057395
mm14304 ENSMUSG00000057392
mm14303 ENSMUSG00000042709
mm14302 ENSMUSG00000063998
mm14301 ENSMUSG00000021390
mm14300 ENSMUSG00000022200
mm20270 ENSMUSG00000036578
mm20271 ENSMUSG00000041202
mm20272 ENSMUSG00000062962
mm20273 ENSMUSG00000068891
mm20274 ENSMUSG00000014104
mm20275 ENSMUSG00000055061
mm20276 ENSMUSG00000056555
mm20277 ENSMUSG00000051822
mm20278 ENSMUSG00000007852
mm20279 ENSMUSG00000050359
mm7386 ENSMUSG00000022555
mm7387 ENSMUSG00000027865
mm7384 ENSMUSG00000038201
mm7385 ENSMUSG00000028602
mm7382 ENSMUSG00000034501
mm7383 ENSMUSG00000066031
mm7380 ENSMUSG00000037835
mm7381 ENSMUSG00000041671
mm7388 ENSMUSG00000024246
mm7389 ENSMUSG00000036083
mm19566 ENSMUSG00000026981
mm19567 ENSMUSG00000052949
mm19568 ENSMUSG00000025652
mm19569 ENSMUSG00000017310
mm20494 ENSMUSG00000055764
mm20495 ENSMUSG00000067246
mm20496 ENSMUSG00000031812
mm20497 ENSMUSG00000050839
mm20490 ENSMUSG00000055177
mm20491 ENSMUSG00000066756
mm20492 ENSMUSG00000050978
mm20493 ENSMUSG00000066094
mm20498 ENSMUSG00000028797
mm20499 DIP:27638N
mm17474 ENSMUSG00000025856
mm12487 ENSMUSG00000046633
mm17476 ENSMUSG00000008843
mm12485 ENSMUSG00000031107
mm12628 ENSMUSG00000021211
mm12482 ENSMUSG00000028873
mm12629 ENSMUSG00000060759
mm12483 ENSMUSG00000035828
mm23918 ENSMUSG00000066675
mm23919 ENSMUSG00000068297
mm12480 ENSMUSG00000053964
mm23910 ENSMUSG00000068301
mm23911 ENSMUSG00000066453
mm23912 ENSMUSG00000065971
mm23913 ENSMUSG00000055223
mm23914 ENSMUSG00000066616
mm23915 ENSMUSG00000033480
mm23916 ENSMUSG00000066717
mm23917 ENSMUSG00000066580
mm4282 ENSMUSG00000004929
mm12622 ENSMUSG00000058114
mm15786 ENSMUSG00000038050
mm12623 ENSMUSG00000057723
mm2384 ENSMUSG00000056755
mm15787 ENSMUSG00000036223
mm6609 DIP:5796N DIP:5793N ENSMUSG00000021796
mm10169 ENSMUSG00000029848
mm21555 ENSMUSG00000061395
mm4284 ENSMUSG00000029415
mm4285 ENSMUSG00000046070
mm17517 ENSMUSG00000057239
mm17516 ENSMUSG00000068848
mm17515 ENSMUSG00000058216
mm17514 ENSMUSG00000006736
mm17513 ENSMUSG00000052605
mm10165 ENSMUSG00000048782
mm17511 ENSMUSG00000035785
mm17510 ENSMUSG00000051255 ENSMUSG00000061399
mm21559 ENSMUSG00000052834
mm17519 ENSMUSG00000032565
mm17518 ENSMUSG00000037214
mm1722 ENSMUSG00000031139
mm1723 ENSMUSG00000025159
mm1720 ENSMUSG00000024238
mm1721 ENSMUSG00000032212
mm1726 ENSMUSG00000031993
mm1727 ENSMUSG00000026657
mm1724 ENSMUSG00000019647
mm1725 ENSMUSG00000039579
mm1728 ENSMUSG00000010825
mm1729 ENSMUSG00000041263
mm5432 ENSMUSG00000067919
mm5433 ENSMUSG00000070002
mm5430 DIP:320N
mm5431 ENSMUSG00000006469
mm5436 ENSMUSG00000020335
mm5437 ENSMUSG00000043323
mm5434 ENSMUSG00000037846
mm5435 ENSMUSG00000042444
mm5438 ENSMUSG00000019564
mm5439 ENSMUSG00000042606
mm5388 ENSMUSG00000029685
mm5389 ENSMUSG00000030968
mm5384 ENSMUSG00000024354
mm5385 ENSMUSG00000025217
mm5386 ENSMUSG00000066415
mm5387 ENSMUSG00000021612
mm5380 ENSMUSG00000024193
mm5381 ENSMUSG00000049122
mm5382 ENSMUSG00000041771
mm5383 ENSMUSG00000039865
mm15547 ENSMUSG00000063903
mm12820 ENSMUSG00000050075
mm12821 ENSMUSG00000066239
mm12822 ENSMUSG00000051917
mm12823 ENSMUSG00000059136
mm12824 ENSMUSG00000045575
mm12825 ENSMUSG00000063590
mm12826 ENSMUSG00000045105
mm12827 ENSMUSG00000055571
mm12828 ENSMUSG00000026882
mm12829 ENSMUSG00000025066
mm3018 ENSMUSG00000046591
mm3019 ENSMUSG00000025267
mm3012 ENSMUSG00000020937
mm3013 ENSMUSG00000021549
mm3010 ENSMUSG00000032394
mm3011 ENSMUSG00000024240
mm3016 ENSMUSG00000042377
mm3017 ENSMUSG00000059481
mm3014 ENSMUSG00000021893
mm3015 ENSMUSG00000004535
mm19919 ENSMUSG00000068544
mm19918 ENSMUSG00000031059
mm19915 ENSMUSG00000021032
mm19914 ENSMUSG00000053280
mm19917 ENSMUSG00000060502
mm19916 ENSMUSG00000062472
mm19911 ENSMUSG00000010021
mm19910 ENSMUSG00000049692
mm19913 ENSMUSG00000057615
mm19912 ENSMUSG00000020526
mm10538 ENSMUSG00000049093
mm10539 ENSMUSG00000000149
mm10530 ENSMUSG00000021969
mm10531 ENSMUSG00000042419
mm10532 ENSMUSG00000021476
mm10533 ENSMUSG00000024742
mm10534 ENSMUSG00000031085
mm10535 ENSMUSG00000025257
mm10536 ENSMUSG00000048534
mm10537 ENSMUSG00000042616
mm6149 ENSMUSG00000019139
mm6148 ENSMUSG00000049133
mm6143 ENSMUSG00000021794
mm6142 ENSMUSG00000027030
mm6141 ENSMUSG00000021066
mm6140 ENSMUSG00000020679
mm6147 ENSMUSG00000028149
mm6146 ENSMUSG00000022155
mm6145 ENSMUSG00000037428
mm6144 ENSMUSG00000007036
mm7818 ENSMUSG00000059513
mm7819 ENSMUSG00000049744
mm7816 ENSMUSG00000020385
mm7817 ENSMUSG00000055421
mm7814 ENSMUSG00000033439
mm7815 ENSMUSG00000020583
mm7812 ENSMUSG00000020950
mm7813 ENSMUSG00000016024
mm7810 ENSMUSG00000050822
mm7811 ENSMUSG00000029922
mm11667 ENSMUSG00000005699
mm11666 ENSMUSG00000025358
mm11665 ENSMUSG00000056942
mm11664 ENSMUSG00000056945
mm11663 ENSMUSG00000018820
mm11662 ENSMUSG00000042244
mm11661 ENSMUSG00000069189
mm11660 ENSMUSG00000023151
mm11669 ENSMUSG00000031637
mm11668 ENSMUSG00000054149
mm12002 ENSMUSG00000033508
mm12003 ENSMUSG00000047034
mm12000 ENSMUSG00000028035
mm12001 ENSMUSG00000069706
mm12006 ENSMUSG00000026675
mm12007 ENSMUSG00000037984
mm12004 ENSMUSG00000039833
mm12005 ENSMUSG00000059924
mm3269 ENSMUSG00000029062
mm12008 ENSMUSG00000015519
mm12009 ENSMUSG00000055676
mm3268 ENSMUSG00000021196
mm3267 ENSMUSG00000028560
mm6859 ENSMUSG00000034484
mm6858 ENSMUSG00000038648
mm3266 ENSMUSG00000035189
mm6851 ENSMUSG00000040855
mm6850 ENSMUSG00000047369
mm6853 ENSMUSG00000066148
mm6852 ENSMUSG00000027782
mm6855 ENSMUSG00000022309
mm6854 ENSMUSG00000029627
mm6857 ENSMUSG00000021799
mm6856 ENSMUSG00000030124
mm18990 ENSMUSG00000061082
mm18991 ENSMUSG00000027431
mm23280 ENSMUSG00000067191
mm23281 DIP:471N ENSMUSG00000029663
mm23282 ENSMUSG00000066579
mm23283 ENSMUSG00000070001
mm13755 ENSMUSG00000058491
mm23285 ENSMUSG00000068732
mm23286 ENSMUSG00000045567
mm13756 ENSMUSG00000063915
mm13759 ENSMUSG00000059942
mm13758 ENSMUSG00000063603
mm18998 ENSMUSG00000014856
mm18999 ENSMUSG00000063427
mm9506 ENSMUSG00000026167
mm9507 ENSMUSG00000043502
mm9504 ENSMUSG00000066632 ENSMUSG00000069008 ENSMUSG00000062070
mm9505 ENSMUSG00000042978
mm9502 ENSMUSG00000045302
mm9503 ENSMUSG00000022386
mm9500 ENSMUSG00000020707
mm9501 ENSMUSG00000047181
mm9508 ENSMUSG00000036158
mm9509 ENSMUSG00000043286
mm4563 ENSMUSG00000069217
mm4562 ENSMUSG00000041817
mm4561 ENSMUSG00000001583
mm4560 ENSMUSG00000024030
mm4567 ENSMUSG00000020401
mm4566 ENSMUSG00000016552
mm4565 ENSMUSG00000024965
mm4564 ENSMUSG00000024670
mm4569 ENSMUSG00000041057
mm4568 ENSMUSG00000011034
mm8453 ENSMUSG00000030888
mm8452 ENSMUSG00000048739
mm8451 ENSMUSG00000039428
mm8450 ENSMUSG00000028550
mm8457 ENSMUSG00000036292
mm8456 ENSMUSG00000030232
mm8455 ENSMUSG00000025498
mm8454 ENSMUSG00000023274
mm8459 ENSMUSG00000033713
mm8458 ENSMUSG00000056552
mm22885 ENSMUSG00000067017
mm22884 ENSMUSG00000043469
mm22887 ENSMUSG00000058567
mm22886 ENSMUSG00000068591
mm22881 ENSMUSG00000064187
mm22880 ENSMUSG00000069193
mm22883 ENSMUSG00000054450
mm22882 ENSMUSG00000059519
mm22889 ENSMUSG00000061932
mm22888 ENSMUSG00000055134
mm23424 ENSMUSG00000048910
mm23425 ENSMUSG00000068485
mm23426 ENSMUSG00000048240
mm23427 ENSMUSG00000066331
mm23420 ENSMUSG00000057640
mm23421 ENSMUSG00000063352
mm23422 ENSMUSG00000068523 ENSMUSG00000068481 DIP:324N
mm23423 ENSMUSG00000066346
mm14408 ENSMUSG00000038805
mm14409 ENSMUSG00000050168
