F1PX62	F1MZA9	D3ZV26	A2BED8	Q96II8
E2RT29	E1BCZ7	Q66HC4	E9Q958	Q6NXS1
F1PBY6	G3MZB3	F1LX07	Q99JG7	P47881
E2R7J9	Q0VCQ9	O08769	Q9DBR0	O00212
F1PBF1	G5E531	D4ACB8	P97313	Q9Y252
E2QX33	F1MV85	M0RBF1	Q8BGS7	P15586
F1PQN3	Q0IIG0	A0A0G2K2T6	P27641	P41162
B6V8E6	F1MM73	P62718	P80316	Q9H6U8
P33731	Q3T0Q6	P41156	Q7TNV0	Q5EG05
E2QVP6	Q9GJW7	A0A0G2K8G0	Q91VR7	A0AVT1
E2RGH5	F1MI32	F1M062	Q62351	Q30134
F1PBJ3	A7Z057	D3ZXC6	Q3UR42	Q9NZ20
E2RBB2	F1MMI7	Q03555	O88852	Q9NX70
J9P8M2	G3X757	F7EUU4	Q7TMY8	Q99715
E2R000	E1BNH9	B5DF45	Q5S006	O95219
J9P1Z7	Q3SZZ2	A0A0G2K0Q5	O08750	Q14954
J9NYU4	F1MLB8	M0R9Q1	P68368	Q04695
E2RGC8	A0A140T8B3	P05426	Q9JLV6	Q9UF33
F1PKP8	Q8MJ05	D3ZJK7	Q9JJ57	Q9H0I9
J9NSV9	A5D973	Q5XIF6	G5E866	O00182
F1PH63	E1BI41	F7FLN8	Q3U436	Q9NVL8
F1PBV5	F1N277	D4A5A6	A6X935	P01009
E2QX07	F1MQK9	P57760	P11725	Q15418
Q6DYE7	G3N3T7	D4A9R4	P70224	Q9Y366
F6X637	Q3MHM5	Q09073	V9GXA7	Q96M94
E2RHC4	G3X6V0	Q68FR9	O55201	Q9NQX0
F1PVY3	F1MMA0	Q9ET50	P51881	Q7L775
J9PAX0	A5D984	D4AC23	P80314	Q6UW56
F1PUX4	F1MNA5	P61980	P26369	Q15013
E2RGD8	E1BKR4	D4A3W8	Q8VE70	Q6ZMS4
A0A140T8E8	E1BJ03	D4AAV0	Q5SX19	Q969R8
F1Q1D5	A5PKM2	F1M953	O35737	Q9NXU5
E2RLP4	E1BEL7	Q923V4	Q8CBW3	P05787
E2R334	Q3ZBX0	D3ZAE6	Q8C180	O95206
A0A140T8D7	F1N730	E9PSU6	Q9D6H2	Q9Y5P4
J9P9Z6	Q2HJ23	Q9R0T4	Q9QZN4	P0DJJ0
F1PYB5	F1MSX5	D4A944	Q922F4	O95157
L7N0P4	E1BBB9	F1LRM0	Q3V3N7	P30484
J9PB14	F1MSD5	D3ZLG1	Q71LX4	P02100
F1Q2L2	Q8HYB6	O08629	P05480	Q8IZR5
E2RLS3	Q2KI86	F1M3U4	O88569	Q14929
E2REW6	F1N2X1	O35793	Q499M4	Q9BRV3
E2R6I0	G3N0T0	A0A0H2UHQ0	Q922U2	Q13136
E2RA27	E1BFD5	P12785	P70333	Q13156
F1PNU8	F1MKU3	M0RD54	Q8K4T3	Q8IV31
E2QWQ1	F1N7Q0	A0A0G2JWP8	P27661	Q6P1M9
F1Q0B0	Q3ZBH0	Q5PQK2	P60122	O15062
E2QUX8	Q1LZ90	G3V6R4	Q8CBD1	B5ME19
F6V0I8	Q1RMS5	A0A0G2K5E6	Q792F9	Q96QU6
E2RIX2	P48734	Q5XI32	Q8VH51	O95231
E2RC09	F1MN01	Q4FZY2	O70551	P17544
F1PI27	A0A140T894	A0A0G2JSP3	P70168	P55259
F1P7H8	A6QQK5	Q9ERC5	Q9D8B4	A4D1U4
F1PR47	F1MYX8	D4A4T0	Q6ZQ38	Q96MH2
E2RDE8	F1MH34	B5DFE2	Q8K2B3	Q16778
F1PX57	E1B7W1	P62193	P62852	Q8WXS4
E2QUT0	F1N2R0	A0A140TA93	Q8R2U4	P28799
F1P716	Q5BIN2	P83888	Q921K2	Q9NSB4
F1Q2U8	F1MM59	Q9WUD9	Q9D0F6	Q9BSW2
F1PQ29	F1MXQ7	P28480	P62270	Q9H1E3
F6V5G7	Q5E947	A0A0G2K8W9	E9PXY8	Q5T124
J9P6N4	F2Z4E7	P07150	P35700	P17098
F1Q3H3	F1MLR5	D4A265	Q80YW5	Q8TB61
E2RN00	G3X6L4	B0BN93	Q9CYH6	O15063
F1P6I3	F1MVC0	Q2EJA0	Q9D0E1	Q08397
E2RPY1	F1MVW5	Q7TPK5	Q01405	Q9H6Q3
E2R2H3	Q3T0Q4	P06760	E9Q2V5	P43304
F1PJG3	E1BJI3	P35353	Q9D5J5	D3DTY9
J9NUI0	A0JNB0	A1A5S1	P35486	Q15417
F1P925	E1BMC4	Q569B5	Q8VCB1	Q86XM6
J9P539	F1MPG6	D4ADR2	Q5SNZ0	O15428
J9P3E9	E1BM47	Q2KN99	Q9WVK8	Q3ZCQ3
E2R0Q0	F1MB21	P20236	Q91VM3	Q6NWY9
F6XBZ5	Q3SZ25	P17325	P05627	P61619
F1PRZ1	P81948	Q3B8Q2	Q7TMK9	Q99969
F6XRY2	G8JKY0	Q6P3V9	A0A0R4J1E2	Q6B0B8
E2RG82	F1ME99	P53565	Q62225	Q9NS61
F1Q2H9	G5E505	A0A0G2K4U6	A0A0R4J187	Q6ZS17
F1PUB2	Q29397	Q5U2P1	O35954	Q9BZQ2
E2R7K2	E1BJA2	Q4KLH7	Q9ERU9	Q96A35
F1Q3W0	F1MPU0	P05197	Q6P4T2	Q8HHH1
F1PAY5	Q1RMX2	A0A0G2JTK4	E9QKZ2	A0A0S2Z364
F6XQ49	G8JKV2	D3ZC01	I7HFT9	Q9BRT9
E2RN45	F1MND1	P21670	Q9CQM8	Q17RA1
E2RFP3	Q3ZC42	D3ZY16	Q8BJH1	Q7KYU6
E2RB79	G5E631	F1M589	Q5XJF6	Q9NTJ4
F1PAZ0	G3X7S7	Q9Z1Z9	E9QKA4	O75094
E2R4W6	Q3SZ16	D3ZAS7	Q6P4T1	Q9Y272
E2R2K3	E1B886	M0R4T9	A2AHG0	Q9Y6P5
E2RNC4	F1MPT8	M0R671	Q9DBY5	O75398
E2RRB2	F1MFQ9	G3V7K1	Q8CHP6	Q5JPE7
F1P603	A6QLA8	P08592	Q3UFB7	Q15072
E2R8D6	P04272	M0RCY2	E9QNN1	Q7Z422
F1PYA6	F1MB54	Q63540	Q9Z0H1	A0A0B4J269
F1PAZ2	Q3SZ87	G3V672	Q8K4L0	Q14699
F1Q4J5	Q0VC36	Q566E4	P16546	A8K251
F1PIA2	F1MNS7	F7F0B1	Q9DBG6	O60271
J9NX85	F1MC48	Q6PDV8	P62315	Q6DKJ4
F1PKW7	E1BE98	P46462	Q9WTM5	P46926
E2RQP7	A6QLA6	A0A0G2K761	Q61188	Q8IVP1
F1PKV9	F1N0M8	D3ZWF5	Q91ZT8	O95050
J9NRQ9	E1BLI8	Q5M808	Q6P5H2	Q96LW4
J9P0T4	G3N025	G3V8L0	Q8CGN5	Q8N543
J9JHK6	A4IF97	Q07984	Q9R0U0	Q9UBH0
J9P6U4	E1BL95	Q9Z2P5	O70372	Q7Z2D5
E2R0D6	Q08DE0	A0A0G2K8K0	P26361	Q8TCJ0
J9P4A1	F1MAV3	D3ZIE3	Q61112	Q12947
E2RHW7	A4FUY8	Q3B7U1	Q7TT37	Q8WVS4
E2RSQ9	F1MJS9	Q5I0K8	P00687	Q9NZT1
E2QX15	P35508	A0A0G2K3V7	P61161	Q9Y5Q6
F1PYR0	A5D7C5	D4A2R8	Q9CR11	Q8NF91
E2R911	A6QQS3	M0R6E1	E9QPQ8	Q14697
F6X9D0	F1N4S5	D4A7V6	Q0ZCJ7	Q6YI46
E2RMD3	Q95KV0	A0A0G2JSK5	P83510	P19012
F6XIK8	Q3ZBW4	P47196	Q9JKF1	Q5VTB9
E2R6L1	F1MM55	B1WBY7	Q8VE22	Q9BSJ1
J9P3L1	Q9TTR8	F7FHP0	Q8BN51	Q8N9Q2
E2R1V2	G3N3B7	B2GV38	G3X914	Q7Z738
F1PW15	Q1RMU2	P61983	P20029	P07195
E2R855	E1B7G8	F1LVM0	Q3UKY7	P29965
E2RRK7	E1BMP4	P09118	Q924W9	Q96NC0
F1Q0N7	F1MMK8	Q5XI29	P70698	Q9NUQ2
F1PRG2	E1BIG5	Q99MA2	Q8VHP7	O00472
F1Q3H4	P02709	Q9QXI3	Q91WG7	P05408
E2R3X7	A6QNL5	P61314	Q99J09	Q5SW96
J9P2Y0	E1BK00	F1LPJ6	Q9WTX6	Q7L553
E2R9U8	E1BNK3	Q6MG72	Q01320	Q9HBL7
J9P4F8	F1MRF7	P05508	Q9R0E1	Q8N3Y7
E2R4H6	F1N0J0	E9PTI6	P19324	O00501
E2RK70	F1MNS2	P15791	Q8R5K4	Q70CQ3
F1PZS5	F1MDG4	D3ZRG8	Q8VEH8	Q01453
F1PGB6	Q3T169	G3V7Q7	Q9Z1X4	Q9BQI7
E2RJ10	F1MM89	D3ZHF1	Q6NXK7	Q12887
F1PAG6	G1K1S1	F1LQP9	P21958	Q16288
E2R4L7	Q3SYV6	P41542	O55222	P62873
F1PRY7	F1MK90	M0RE14	O88346	Q9BZL6
E2RDZ4	Q32LC7	Q6AYN8	O08810	P37802
F1PQT6	O18789	E9PTS4	Q91YQ5	P01160
F1PRZ2	F1MTX7	D4A8G0	Q3TIV5	Q96MH6
E2RG15	F1N3H1	B1WBQ7	Q8VDN2	P00747
F1PR95	P10881	G3V9A3	Q9D0T1	Q00889
J9P8P4	F1MTG9	Q924S5	Q5SF07	Q8NE86
J9JHD4	Q3MHH2	Q9JKL8	Q9D6F9	Q9UNN8
E2R0G3	Q95M18	P27008	P80313	Q9NSV4
J9P383	E1BE83	P09416	A0A0R4J0T0	Q9Y4Z2
F1PCS3	A6QLX9	A0A0G2JUJ2	Q9D6S9	Q92953
J9P3C3	F1MYQ8	F1LR12	Q9D3S9	Q86UV7
F1PCA2	P63048	Q27W02	Q61140	Q14694
J9NRV4	E1BIG2	D3ZMQ3	Q8CHK4	Q15131
J9P3F5	F1MBU2	Q5XI69	Q8BVG8	Q9GZV1
E2R0F5	E1BG94	Q9ES73	Q9QXS1	Q92633
F1PWW0	P67774	G3V913	Q62093	Q8IZL9
E2QWT6	G3MZC4	D3ZE12	P29416	P04259
F1P750	F1MIE2	G3V7T6	P42932	O14604
E2R1W3	F1N339	M3ZCQ2	P63330	P46778
E2RGP6	Q2KJD1	Q66X93	Q68FL6	Q969Q1
J9P556	Q08E48	D4AEH9	Q4FZG9	Q16777
F1PR00	P01211	D3ZQ65	Q99N43	P49789
E2QS16	F1MRW5	F1LV21	Q61084	Q14525
E2RDL8	F1N647	Q6PDU1	P15864	Q13610
E2R8E5	F1MHR6	Q6AYT3	Q64737	Q6ZUH1
F6X725	A2VDN6	O35796	P21126	Q6UX98
E2RQC9	A6H6Y0	D4A9D6	Q60668	Q13043
E2QS13	F1MZT7	Q5XIL3	Q99N15	Q712K3
E2RGJ1	E1BJD1	Q6JE36	Q61526	P58872
E2R3T3	Q58CR4	Q07205	Q31093	Q9Y2L6
E2RGD3	P06623	A0A0G2JSG6	Q9QZ67	Q9Y2B2
E2QSP3	E1BJB4	G3V618	P84104	Q8N1K5
E2RC52	F1MQI4	D3ZM39	P31310	Q6ZWT7
H9GWE0	Q3SYZ6	A0A0G2JZL4	Q8BGZ6	Q6P2D8
E2RAU5	Q08E38	Q641Y8	E9PZB3	Q13145
J9NS71	F1MV51	Q9Z2L0	Q76MZ3	Q13885
F1PT54	E1BB08	Q5U2N3	Q80T74	Q8NHV1
J9P2W4	E1BCD5	F1LZD2	Q6IS41	Q9P227
F1PAP5	F1MJQ1	Q4KLK7	P06151	Q9NZ94
E2RFJ7	E1BMS5	Q6P502	Q8BTM8	Q969S6
F1PUU0	P11017	D4AE49	Q99KJ8	Q8TCF1
F1PYE3	Q0VCY7	F1M3D3	Q3TCH7	Q96RU2
F1PV77	Q0P5G2	Q2ABP3	Q3V0Q6	Q8TBG9
E2RTC3	E1BJG5	D3ZQM0	Q8BGF7	Q13177
F1PR38	P55918	D3ZZ38	Q99LI2	Q6NSZ9
J9P6F4	Q3ZBV3	A0A0G2JZI2	P61358	A8MXV4
E2R2I4	E1B782	O88321	P26450	Q96DX4
E2QWE2	E1BHT5	G3V9A8	O88796	P32942
E2RIW6	Q148N0	Q4G079	Q8R010	Q8N4C5
F1PT15	E1BCW4	D4AE06	Q6PDK2	Q3MIR4
E2RE71	Q8WN55	M0R907	Q62376	P15407
E2RMQ5	E1BNX8	P0CC09	Q3V1L5	Q7L2R6
F6XFW5	F1N645	A9CMB8	Q64337	P07814
E2RSX2	E1BN25	D4A769	G5E8K5	P31273
F1PKA8	F1MJJ0	F1LWB7	Q6P6A2	Q6N021
F1PLA0	P30931	D3ZDJ9	P97460	Q96NA8
F1PYV1	F1MKX7	P40329	Q922B2	Q7Z3T8
Q9XSV3	F1MSM0	Q9JII3	A4UUI3	Q9BQS7
E2R729	Q2KJ46	Q6P136	Q91WN1	Q9BU61
J9P9X7	Q863B3	B0K035	Q9EPL8	Q14134
F1PQM2	F1MD32	P37377	P63260	Q9NWD9
F1PAI7	Q1JQE0	G3V6K6	Q8VEK3	O75632
J9NUV1	Q29RN9	A0A140TAA5	O08583	Q96MV1
E2RFW1	Q3SZ11	A0A0H2UHG3	Q9WVS6	P42702
E2RR71	F1ME11	B5DF04	Q9Z172	Q16880
F1PVJ7	Q1RMR2	P68101	Q9CR57	Q562R1
A2SXS7	G3N262	A0A0H2UI20	Q8BVQ9	P49770
J9P0Q4	A7MBA2	D4A8A0	Q9R1C7	Q8N431
E2RPE9	F1MJA5	A0A0G2K0K8	Q91XW8	Q86TT2
E2RM91	F6PR67	D4A0Y6	O08784	Q8WUB2
F1PR36	F1N7B5	Q5U2U8	P11983	Q13427
Q4F889	F1N264	Q9EQ10	Q91ZT5	Q8NA57
A0A0A0MPD5	O19182	A0A0G2JYW2	Q31142	Q9Y2T6
J9P552	Q9MYP6	M0R8G5	P52430	Q99607
I7KJS3	F1MBM1	E9PTY9	P97499	Q5UE93
E2R7S5	A1A4J9	Q62733	Q6PB66	Q14940
E2R4L0	F1N2W8	O08623	Q8C0C7	O95445
F2Z4N6	A4FV97	A0A0G2JUA5	Q99LF4	Q9Y6R7
E2QXH3	Q08DY8	Q80XF7	Q9R0U5	Q9BZY9
E2QZL4	F1MMS4	P29066	Q3ULA2	P78396
F1PX75	Q2TA25	P68255	Q62432	Q01523
E2RSR5	A7MB80	P42123	Q9JKB3	Q6UE05
E2RL30	E1BF92	Q2I6B5	Q9CQ13	Q07000
F1PAA2	Q17QP9	P27704	Q61532	Q9Y2P8
F1PNE0	E1B999	D3ZI35	P46662	Q8N6V9
E2QYK6	F1MJB6	D4A5S9	Q99JI4	Q9C026
J9P8V1	A4IFC8	Q6P7P5	Q8R124	Q4G0N8
F1Q2Q9	Q3SX40	B2RYU7	P28033	Q96GE4
F1PV61	F1MP07	Q5U2S7	Q9JHU4	P42765
F1P7R1	G3X8A0	P16610	Q9CPZ6	P78395
E2RBV8	A5D9B4	D3ZXH7	D3Z3N4	O95976
F1PBE3	G3N3S4	F1LX28	Q9D8F1	Q495Y8
F1PGB1	P81947	B4F7C2	Q9WUN2	O14508
F1PPH7	Q3MHR5	P18422	P63325	Q9NRQ2
J9P8L1	F1MS25	D3ZA49	Q99J62	Q9NXD2
E2R0L9	Q5E973	A0A182DWI7	P35980	Q14CB8
J9NZJ8	G3N2V3	F7F7W7	B1AR10	Q9NRD5
F1Q4J4	Q0VCN4	F1LRZ0	Q8BW72	Q9BWJ2
F1PEX6	G3N3W3	F2Z3Q8	P53566	P11142
E2RNG4	E1BIU0	A0A0G2K5E4	Q9QYI3	Q9HBA0
J9NS22	Q1LZ81	D4A3X3	O70126	P54619
E2RNY1	F1MM34	A0A0H2UHM5	Q8BL97	P32455
F1PXC7	Q0P5C5	G3V6K3	D3YTR3	Q96RJ3
E2RGZ1	E1B828	B2RYV0	Q66T02	P60827
F1PI29	F1N790	F1M1B3	Q99M73	Q9NZH0
E2QVF3	F1MDM6	Q6AYL5	Q3U133	O94855
F1PEC4	E1BI59	D4A5V8	Q8VC34	Q9H7Z6
E2R541	A6H7F8	P36877	Q60864	Q0D2H9
J9P393	P0CG53	O88767	P62264	P60866
E2QWG3	Q2HJD0	A0A0G2JSU9	P31750	O95544
E2RL01	Q2TBV1	D3ZFB2	Q8CGC6	A0A087X1U6
F1PHF7	F1MDS5	M0RCJ5	Q9CQ65	Q9Y303
J9PAB2	A3KMV5	P61621	P35564	Q53HC5
F1PJY5	F1MJS7	Q8R424	Q02111	Q00536
F1PPZ5	E1BGR6	Q6TMG5	Q63844	Q92837
E2R429	E1BBT8	A0A096MIS3	Q8R050	Q92567
F6V4W0	E1B7A1	D4ACK7	Q8BKX1	Q8NA54
E2QY85	A4FUD7	F1M0N7	Q8VC65	P35914
F1PBX6	F1N3K8	Q2TA68	Q60902	Q6PHW0
E2RQ64	Q3SZ29	P15205	Q62053	Q6IAR4
E2R3X1	E1BLT8	Q3V5X8	Q53YU8	Q6ZU67
E2REU7	Q2KHT7	B2RYB3	P16872	Q92466
E2RDD9	P79132	Q80WY6	P11798	Q8IZ09
E2RLQ9	F1MYG5	D3ZZ80	Q9DCD6	P60329
E2RCN3	F1N3S4	P62828	P62192	Q16795
E2QW49	F6QPT2	F2Z3S9	Q8BWM0	Q01740
F1P815	F1MHN4	A0A0G2K0X1	Q569L8	P16035
F1PKX6	A4IFU4	F1LNT5	E9Q4N7	Q96A56
J9P8W9	Q2HJ65	Q6AY21	Q3TEA8	O43759
E2QS97	F1N1B8	Q5FVL2	P58334	P35789
K9J6P0	F1N6M9	M0RAL0	P08752	Q8TDY4
F6URT7	F1MDX9	G3V9X3	Q9WTI7	A4QPB2
F6XFZ9	A6QL98	F1M947	Q8CEE6	Q9H944
F6Y394	F1N5A9	P63077	F6ZNL5	Q9BYG4
E2R4P3	Q3ZCK9	G3V7F1	Q9WVK0	Q8NI36
E2RQ14	C1JZ67	A0A0G2K2C2	A2BH40	Q9HBT7
F6V5A2	A4IFD6	Q925N3	Q62176	Q9UK96
E2RDC4	G3N0R1	Q6IMY8	Q9Z1R2	Q99878
E2RB82	E1BG76	D4AAT4	P97311	Q92597
E2RE36	F1MGX0	A0A0U1RS25	Q921M3	Q92993
F1PXQ7	F1MDK5	F1M2K4	Q8R146	P0CAP1
E2QY15	E1BP20	D4A648	Q9D1L9	Q8NDB2
J9P6J7	F1N4C7	O88828	E9PYD7	P62942
J9P5N6	F1N091	A0A0G2JUX5	Q9QX47	Q7Z6G8
E2RHL4	Q0II22	G3V9K5	Q8R5H1	Q9Y2H1
E2RC82	F1MN03	D3ZCW1	E9Q1U1	Q8N5C1
E2REQ8	Q92176	D3ZHW1	Q3UV11	P02743
E2RQC4	E1BPM3	D3ZD23	A2A432	P62714
E2RF71	Q1RMQ2	Q5RJM0	Q61574	P32242
E2R9J8	Q3T165	G3V7U4	Q9CYR0	P78406
E2QZ90	A6QLB7	M0RCA6	Q8BG05	Q8NDG6
F1PX22	Q2KJD0	Q4V898	P62983	Q13351
J9NXU5	Q3ZBG0	F1LXF1	Q8BMS1	Q96GM1
E2RB90	E1BFB0	A0A0A0MY09	Q8K4Z5	Q96EH5
F1PAP1	E1BPP6	A0A0G2JU83	O89017	Q96FX2
F1PX20	F1MHP5	F1M8G8	O35205	Q9NRX1
E2RRN7	A4FUC7	F1LME3	E9QLE4	Q8NB16
F1PWG8	F1N614	D3ZME7	P68510	P51884
E2RNU4	F1MC31	P06685	Q61584	O43711
F1PF69	Q5E953	D3ZC16	Q9CZE3	Q01362
E2QUD1	F1MB07	A0A0G2JZJ3	Q05915	A6NKF2
E2R9K4	E1BIN5	A0A096P6L8	P70372	P05412
E2R8S6	F1MRZ0	B0BN64	Q8BN78	Q86UX7
F1PQ37	Q3T0W0	P28647	Q9D3R9	Q9ULE0
F1P8N6	P56701	Q6AYI1	Q9Z108	Q86VP1
F6XA80	A7MB04	Q5I0N0	P54369	Q9H7Z5
E2RCP9	A6H744	F1M5R1	P97351	Q8N5S1
F1PYW1	F1MVN9	A0A0G2K490	Q9R0T8	Q9NXV6
J9JHE8	H9KUU9	F1LSR2	Q3V1V3	Q9NPF2
F6ULW3	Q95M59	Q56R18	P04202	P13473
F2Z4N0	F1MXE4	D3ZIX4	P14873	Q6P1M0
E2RCK8	Q58D84	Q6P7D5	Q8BJU9	Q9UL42
E2QYN0	G5E5Q8	A0A0G2JZY0	A0A0G2JGM8	A1A5C7
E2QUM5	A7MB35	P62250	Q91VR5	Q9NX45
J9P0R7	P18246	G3V6X8	Q08943	Q96IG2
J9NXZ3	E1BF68	G3V9H0	P57716	Q5T5C0
F6XT26	Q28139	Q7TPJ0	Q61290	Q5T5P2
F1PQZ9	G3X8D7	D4A2A5	O55179	Q99990
J9NXR5	F1MXM6	O55227	Q9WVB3	Q9UN37
J9P119	G3MZ17	G3V6I6	Q9CZR8	Q96HM7
J9NWB0	Q3SZR8	Q6P9V6	Q9JIK5	P56373
E2RB53	E1BJS3	E9PTN4	Q8BUN5	O94983
E2R1V1	A6QR16	Q3KR59	Q9CQR2	O75526
J9P2W1	Q3T105	M0RDN9	M0QWK1	Q02535
E2RM49	A7Z065	P04642	Q60930	Q9NR23
E2R988	A5PJA6	P22509	Q9CQE8	Q5SW79
J9NXT6	A6H7J3	M0RDR7	P70371	Q15797
E2R0D1	G3MZY8	D4A3J9	Q9ESJ4	Q8IZP0
F1PCG5	G5E5M5	D3ZNQ6	Q8BK72	Q9UPS8
E2RQU7	F1N206	B1WBY1	P29533	O19707
F1Q3W8	A5D7A2	G3V6H5	Q9ES52	P12757
F1P808	Q2KIC7	Q9Z340	Q9R1P0	O43674
F6V0D8	P00829	A0A0G2QC09	P56480	Q9Y5X3
F6V263	F1N650	D4A720	P26040	Q96FJ2
F1PJY9	E1BKJ7	Q8CGX0	P84091	P51787
J9NWN7	P19803	G3V9R0	Q9Z0Y7	Q9H1B7
E2R3R6	F1N2T0	P38983	Q8R5L1	Q92542
F1PF02	G5E5C3	Q99P99	Q3UWL8	A0A0S2Z4E5
E2REF0	G5E5N3	G3V817	Q569Z6	Q5XLA6
J9JHN5	F1MXB1	Q6AYE7	Q8VD76	Q93073
F1PUE0	P79136	Q6P3V8	Q8VDM6	A0A0J9YY34
E2R7K9	Q3T159	A0A0G2JYJ1	Q8K1M6	Q9UI21
F2Z4P2	A6H7J6	P62703	Q99PV0	Q9Y239
F1PXN8	F1MV28	D3ZPC8	Q80TV8	P42772
E2RDU9	F1N596	D3ZAQ4	Q60809	O75643
F1P7V2	F1MLW0	P08461	P61027	Q5VU69
E2RT63	Q3T0B6	A1A5P2	Q62167	Q9BXM7
F6XKC0	G3N337	D3ZZ44	Q91YP0	P07148
F1PT44	E1BCK1	B1WC02	E9Q7G0	O75886
E2RC02	F1MYQ1	D4A8H1	O08575	Q9H4M9
O02812	F1N0L2	Q9QZ86	P16125	Q15643
J9P693	F1MQA1	D3ZXU0	E9PVA0	Q13018
J9NVA4	F6QAQ8	F1LTX4	Q5SW46	Q6NW29
E2RH47	P26452	O70513	Q04750	P22888
E2RF06	E1BH89	P85834	P32067	O95202
E2QXX7	F1MV32	J3KTR9	P70389	B2R9Y1
E2RC16	A2VDS9	M0RCK7	P56402	Q8NHS2
E2QXE0	Q2HJ60	D4A9L2	Q9D8N0	Q8IYU2
E2QYE1	Q2TBL5	Q5HZA7	O89112	Q86UK5
J9NUD8	A0JN74	Q5XIT1	Q6PGF2	P13236
E2RB18	G3N316	B0K031	E9PUS2	Q86YB7
F1PZ82	F1ME65	D4A206	C0HKE9	A6NER0
J9NWT0	E1BKT3	A0A0G2K2I0	Q6QI06	P34931
E2RQ67	G3X736	B1WBV4	O35551	Q9Y508
F1PXY0	F1MPT4	G3V879	Q9JKC0	Q52LA3
F1PS73	P00727	P32198	Q8R081	Q86SG3
E2QV44	F1MVD0	F1LMA4	Q8BWW9	O43813
J9P425	Q3T057	D3ZPR0	Q9WVA3	Q8TC29
F1PLS0	G1K1Z2	D3ZTG2	Q8K310	Q8N9I0
E2RE39	F1MMY9	F1LR39	Q811P8	Q96EK2
J9P404	E1BBR6	D3ZNI5	Q9CPX6	O14787
F6XVD7	A6QLS9	Q6MGC9	P58281	O60814
E2RGH9	E1BMY2	Q7TST9	Q8BXG3	Q9UKN5
F1PCP0	E1BB63	Q400C7	Q6VH22	Q96LW2
F1PNC9	F1MEQ3	D4A5E7	Q60952	Q9NRK6
E2R4K5	A6QLG3	F7FA48	Q6P9R1	O75223
F6XCN6	F1MHJ3	F1M711	Q6NS69	O15511
E2QXL2	Q3SWX8	A0A0G2K1C8	Q9R0L6	Q96IM9
F1Q404	F1N2L5	Q4QQR8	Q3URI0	Q8N7X2
E2RKC2	E1BEH2	A0A0G2KAZ2	Q3UPH7	Q9GZK4
