E2R9K4	A6QLA8	P35739	P12023	Q5EBL4
F6PME1	F1MBG5	D3ZJ50	P70677	Q13433
F1Q2Z4	F1MN93	G3V7C6	P62889	O14994
F1PUT6	G8JKX8	D4A1W5	Q9Z0H3	Q9H015
E2RIV1	Q0VCD2	A0A0G2K3V7	Q922I7	Q6R327
J9PAW7	F1MCX5	F1M572	Q91WS0	A8K5I0
F1PUL1	A4IFK7	Q6IE50	Q8R0F5	Q13797
F1PBJ3	F1MM66	Q71UE8	Q8BGF7	Q9Y5G6
F1P7T4	P19120	A0A0G2K1M2	Q8CG73	P0DML2
E2RP23	Q3T0K2	Q9R019	P70168	Q8TEV9
F1PE20	Q148J7	G3V7X3	Q8BUN5	Q9BXX3
E2QVF3	F1N0N9	A0A0G2KA75	Q8K2B3	Q9BYG3
E2R1V2	F1MEF6	B5DFE2	Q61188	Q9UK59
E2RH47	Q8HYB6	A0A0G2K2T6	Q792F9	Q5T2D2
F1PQ92	O46639	D4A082	Q8BM92	Q5D1E8
F6X4Q8	A6QLG8	A0A0G2KAE1	Q9CZX9	Q8WY98
O18840	Q32PJ8	Q9WUD9	P25118	P49427
E2RLJ6	E1BM29	P32215	Q68ED2	Q68DE3
F1PPZ5	P48734	Q3ZAV2	Q5EG47	Q9H867
E2RLP4	Q3T0F9	F7EUU4	Q61767	P51164
F1PQN3	F1N6D5	P21531	Q9DBE9	Q86SE9
F1PMG5	F1N063	Q6P684	Q62470	A0A075B6X2
F1P9J3	F1N0E5	Q6AYI1	Q6ZWN5	Q6F3D7
F1PW15	Q76LV2	P09416	Q8R3R8	Q92793
E2R2N2	G3X757	F1LPJ6	Q9DCD6	Q6P158
F1PYE3	F1MRD0	P11980	Q62167	P78345
F1PZ06	F1MZZ5	Q925N3	P00186	P12829
J9NZC9	E1BHY6	P97947	A0A0R4J0L6	P60002
E2QRU7	P63243	P21708	P80315	Q32NC0
E2R0H0	F1MYG5	D4A3X3	P00520	Q9H7J1
E2RFK7	A6H720	Q4V7F5	Q9CQU5	Q6ZN18
F1PYW3	A6QLG6	Q4G061	P70399	Q12904
E2RRA3	Q5E9D3	D4A1H8	Q922D8	Q9Y663
F1P7L6	E1BPU0	Q6TMG5	O35593	Q9BRJ7
Q9ZZ58	Q0VD22	Q66HG3	Q9CQV4	P17040
F1PYQ1	E1BP64	P37377	Q8BHD7	Q15306
J9NTT6	E1BC35	Q9ERZ8	P48356	Q8TCV2
E2RKZ3	F1MEY0	P54258	P0C872	Q9BQI7
F1P719	F6RF21	A0A0G2JUI5	Q99K85	A8K7D9
E2QWC6	O46680	G3V781	Q9Z1G4	P49590
E2QZZ2	Q3ZBG5	Q6P7A7	Q8VDP4	Q9NRZ7
E2QUE0	G3X755	Q925T0	A2ANT9	P42167
E2R436	F1MQB8	F1M9G7	P51881	Q13158
A0A1W2NCW3	G3N316	Q6AY21	E9Q7G0	Q9Y237
E2RNC5	F1MF47	D3ZAE9	Q8BU85	A8K008
F1PQM2	Q5BIN2	O70509	P70318	A0A0S2Z576
E2RQP7	Q3ZBW4	P47196	P60521	Q8NBI2
E2RGN6	F1N169	Q4QRB4	Q9D8N0	Q3SXP7
F6XKL7	F1MSD2	Q9ET50	P62754	P17010
F6V783	G5E6I7	G3V766	Q8BKX1	Q9NVI1
Q2ABC9	F1N7K2	D4A380	P40226	Q9ULZ1
E2RJX4	E1BPQ4	P23514	Q3U2G2	Q16594
J9P7I1	F1MEX9	M0R6J5	Q9Z110	P28223
F2Z4N5	Q3T003	D4AEB4	O35326	Q5FYB0
F1Q2F6	F1MP07	A0A0G2K8K0	P62983	Q6NSH1
P33724	Q5E9Q7	Q641Z4	Q6ZWR4	Q9BRI3
E2RDL4	E1B9H3	Q4KM65	Q8BU30	H7BYT0
F6XRW3	F1N4C7	F1LQ89	Q5SWW4	Q9ULB5
J9JHN5	E1BNL6	G3V7X2	Q8CCJ4	Q92967
E2RIQ8	E1BQ37	Q4KLK7	Q5XJF6	Q86XM0
E2R000	Q1RMU2	A0A0G2K4U6	P29533	Q01954
E2R8L3	P04272	P62198	Q61753	Q9P031
E2RG41	F1MSU3	D4A457	Q64695	Q96CS4
F1PYW1	E1BEL7	Q6IRH6	P27641	Q7RTU0
E2RJH5	F1MTC2	Q09167	E9Q557	O75326
F1PZW6	F1N2F1	B5DFA0	Q9JJV9	O60760
E2RDC2	Q2KJH6	A0A0G2K098	Q920Q8	Q7Z6W7
F1PIP0	A6QNZ7	Q5M9G3	Q9CRB9	Q9NV72
E2RIN4	G3MZ71	A0A0G2K893	G3X8Y3	Q9HBA0
E2QYX8	D3IVZ2	A0A0G2JV79	E9QJV4	P29400
E2RKZ7	Q2T9Y0	A0A0G2JV99	P23589	Q15173
F1P8D3	F1N650	D4ABK7	P14733	Q96HZ4
E2RDP8	F6Q200	G3V7R3	Q9DB29	Q6PF15
E2RPY1	A5D7S0	Q498D8	Q60597	Q96AT1
E2R8D6	Q0VCY7	A0A0G2K099	P62918	O43491
F1PEG8	F1MYN2	D4A2D3	Q9D8U0	O14974
E2RNG4	E1B748	D3ZUY8	Q61699	Q9H3M9
F1PAY5	Q3T057	D4A1B9	O88685	Q14671
J9NTA2	G3N1L4	Q6AXX4	Q60899	Q8N9E0
E2RPY9	Q0VCY1	D4A4T0	P19096	Q02962
F1PR47	E1BH82	D4A6J0	Q9WVS6	Q8N8J6
E2RMV1	Q58DT0	A0A0G2K781	Q9ERU3	Q9BV86
E2R792	E1BMS5	P63086	P67871	Q8WYD0
J9NUI0	F1MLS5	F2Z3Q8	P52432	P37173
J9NST9	E1BML0	D4AE24	Q9WUL6	Q9H4A6
F1PKR6	G3MXJ7	D3ZHY6	G5E866	Q9H972
E2QSF4	F1MWD3	F1LNF1	Q8VEM8	O15111
E2QXG1	F1N0S9	Q5FWT1	P62830	O60641
E2QS16	Q3T0G3	Q5U2S7	Q6ZWU9	Q9UQC1
F1PCU2	Q7YRV4	F1LMV8	Q61140	Q6WRX3
E2RFV7	G3N0V2	G3V7U4	Q60605	Q06S79
E2RCC4	F1MPW8	D3Z939	Q62160	P21266
E2QVM3	Q3ZCE0	B5DEQ4	Q9JJA4	P63218
F1PKF6	F1MFD1	Q498M4	P21126	Q9BX66
E2R8C9	Q3SX26	B0BMY7	Q6ZWR6	Q92615
E2R4L0	Q5E9T9	Q07984	Q9CQM8	Q96EB1
E2R5F1	F1MZE2	Q4QQS0	D3Z5F7	Q9NWT8
E2RT79	Q3T106	D3ZTK5	Q8K224	Q06278
F1Q284	O02741	P68136	Q99LX0	O75175
F1PY38	A7MBC5	P15865	A2AIX1	Q9NWB1
F1PCD0	E1BNH9	P60522	B7ZDF5	Q9Y2Y6
E2RE72	Q9GKI7	D3ZVF5	Q5M8N0	Q6ZRY4
E2RSA5	G3X7W8	Q6P9Y4	Q9Z2K1	P33402
J9P326	Q95M18	Q6P9V9	P62245	Q9Y581
E2RIB3	G3X811	Q4FZT9	Q64010	Q96JB6
F1P890	Q5E947	Q27W02	P80313	Q5T5C0
E2QWF5	Q3SZ00	A0A0G2K9Y9	Q9QZD9	Q9Y5G9
E2QX76	E1BND5	D3ZCD0	Q61471	Q9BUL9
F1Q149	F1MVN3	E9PT74	Q91YL7	Q13641
J9P3A3	A5D989	F1M9D6	P16546	O43257
F6V263	F1MTR4	D4ADC1	Q9CQ49	Q6L9W6
E2RCF7	P61286	B2GV38	P61222	P22415
F1PQ93	P02253	O35346	O35129	Q5XPI4
E2RP18	E1BHK5	Q4QQR7	Q9D7N2	Q8WVZ7
A0A0A0MPD2	Q56K14	Q4KLJ3	Q99M28	Q6DN90
E2RMD3	Q8MJK1	F1M842	P26039	P52294
F1PLP2	Q3SX32	D3ZU51	P61087	O95831
J9NWL1	F1MCQ7	Q6NYB7	Q8BVQ9	O75817
E2QU53	F1MH34	M0R7Q5	P62717	Q8WWG9
E2RNC4	Q29RK4	B2RYP8	Q9CQF3	P0DPA2
F1Q1D5	P12234	P42346	P07356	A4FU49
E2RLA5	F1MND3	A1L1I3	D6RIL5	P54886
F6XZ19	F1MYN8	Q505J8	Q99P88	Q8IXQ9
E2R944	Q66LN0	D4A425	E9PUR0	P13693
F1PL57	Q17QV1	Q76MT4	P15208	Q96KQ4
F1PPB3	F6S1Q0	B5DF98	Q8K1M6	Q96MV1
E2RG35	F1MUX6	Q6IFZ5	P14148	P12104
F1PWC2	Q02376	P61312	A2ARZ3	Q9BX79
J9P0G2	E1BCC9	P62703	Q99ME9	Q92949
A0A0A0MPD0	F1N3P2	O88656	Q91W50	Q6NSW7
F6XBW7	E1BHB8	Q63262	Q6IE26	Q9BZG7
F1PJD3	A1A4R8	A0A0G2JWA8	Q6P5B5	O14734
F1PM01	Q58DA0	Q9JJ54	Q8BTM8	Q70EK8
E2R5T9	A4FUZ3	Q5XIW8	Q9CR52	Q8IZU9
E2QW70	Q3ZCC3	Q63768	B2RUG9	Q8TBX8
J9P6F4	E1BJ64	A0A0G2JW78	Q80U70	Q92985
F1Q2Q9	E1BM41	D4A3M8	Q60I23	Q92570
E2R2L2	F1MQP3	Q9Z118	Q9JLV1	P29372
F1PCF7	Q3SZ29	D3ZG28	Q8CHI8	Q5K651
F1PGY1	E1BIN5	D3ZP96	P11276	Q9Y2P0
F1PUC8	G5E5Y1	B5DF22	Q6A051	Q9UNE2
F1PWG8	A5D980	Q62844	Q9CU62	O94880
J9P6T3	Q6IE77	F1LNL6	P58463	Q8IYJ3
F1PVJ7	F1N0W0	P39052	G3UWR8	O15321
F1PUE0	E1BIN9	Q641Y8	P84104	Q96KN4
F1PLR0	F1MUZ9	P68370	P62301	P10809
F6XUF9	Q3ZC09	P63045	Q8BXQ8	Q9HCM9
J9P609	F1MBH5	M0R3Z4	P10284	Q15475
F1PKT8	P19427	A0A096MJ78	Q3V037	Q96LU5
F1PLD0	F1ML89	P07895	Q61548	Q6ZN30
E2RNB0	E1B7X9	Q5XIH7	P48025	Q8NBC4
E2RJL3	Q2T9S0	A0A0G2JTG7	P62852	P57054
F1PMS5	A8YXZ2	A3QPB9	P28661	P78332
F6XST9	Q2NL22	R9PXX6	Q9Z108	Q9NZZ3
J9JHK0	G3N1S8	A0A0G2JVM3	Q7TPG0	P19087
F1PZN0	Q27994	F1M589	Q9ERG0	P55064
E2RMA3	F1MD33	B5DFF2	P32240	Q99590
F6XK47	E1BAN3	D4AA47	Q6GQV0	Q15172
F1PQC4	Q5E988	Q6P3V8	B2RQC6	Q8IZF0
F1PJT2	P63258	P21272	P68134	Q96IQ9
F1PLK9	Q2YDE9	D4A7J8	Q62406	P12109
E2QWX5	F1MQB5	Q5U208	Q9D8Y8	Q9H169
E2RAE4	E1BJL3	Q63827	Q9D2E2	O43310
F1PYD2	F1N578	Q5RJT2	O08810	Q96A25
E2RRT4	F1MGY2	P61203	Q8R3N6	Q9NWT6
E2RHK6	P50227	Q7TPJ0	Q8VE57	P35503
F1PQ58	Q3SZ52	Q62803	Q3TI99	A0A024R493
E2RR73	F1MS68	D3ZUB0	P34884	O15391
F1PFX9	F1MYR5	P21670	P23116	Q86VF7
J9NXC6	F1MKX7	Q5XI73	Q99MU3	Q8WWC4
F1PTE0	Q2KI22	G3V7I0	Q9Z1N5	Q9H7N4
E2RCR3	Q3MHL8	F1M3D2	Q61644	Q13838
F1P946	F1N0P2	P84817	Q6PFF0	P56270
F6XSA9	F1N360	B2GV57	Q8K2T1	Q92563
F2Z4N3	E1BEG2	O35821	P62911	Q9NR99
J9NT23	A4FV74	B2GUW2	P42859	Q9GZQ3
E2RB82	P63048	A0A0G2JYJ1	P28656	Q9Y3A5
F1Q4J5	A3KMV6	F1LM64	P14206	P61353
F1PGY9	F1MI03	P05197	Q921K2	Q711Q0
F1PX50	P11966	D4AAG8	Q9EQ06	Q2Q1W2
E2RNN5	F1MM99	M3ZCQ2	Q922B2	Q9Y2Y0
F1PGN6	Q3T064	P02651	Q9D7F7	Q14116
F6XVD7	P19803	Q498N4	Q61598	Q92698
F1Q1T5	Q3SZQ6	F1LTU4	Q9JLI8	Q96FI4
F1PRE1	Q2KJD1	Q09073	P62827	A0A0S2Z515
E2QZV8	E1BPQ8	F1LST4	P63276	Q86WU2
J9PBB9	E1BPS6	P47860	Q3UM23	Q9NUJ3
E2RMD2	F1ML62	G3V6N0	Q9R0U5	O00330
E2R4H6	A3KMV5	R9PXU6	O08749	P54257
F1PVY3	A6QLQ0	D3ZMQ3	F6UL52	Q5H9K5
F6V7D9	Q2KHU8	B2RZ27	Q8BWR8	Q86XE5
E2RM09	Q5E9F7	Q5FVM4	Q569Z6	Q6PIW4
F1PFL7	A6QPM5	D3Z8T0	Q8CFP6	Q05901
E2RHL4	E1B925	P60825	A0A1B0GSX7	P01374
E2RLN2	F1MX88	P08081	P97379	B7Z9L0
E2REQ0	Q3ZC98	F1LN91	Q9CPP0	P57729
J9P0Q4	Q3ZCH0	P55063	Q99K48	O15160
F6X9T9	Q58DW8	D3ZY02	B2RRI2	Q9H4K7
E2R1V3	G3MX98	A0A0G2K747	Q80ZM5	A0A0S2Z3N5
E2RAU5	A5D984	Q6AYN8	Q76MZ3	Q7Z6J8
J9NXJ4	F1N6C2	A0A0G2JT33	Q0KL01	Q8N274
Q9TQX1	P0C2B6	D4ABL7	Q8K4B2	Q5HYR2
J9NZK9	Q3SZ54	P16086	Q62318	P04141
E2RE81	P82926	A0A0G2JU36	Q99M02	Q8WWG1
F1PQQ5	A6QQU2	P97836	Q62425	Q96P20
E2RB53	Q3MHM5	Q6AZ64	P42932	Q9BZV1
F6V5G7	F1MX51	Q920L2	Q9CQE8	P13682
L7N0I7	A6H767	G3V6W6	F6ZFU0	P17813
J9P423	F1N1J5	M0R4P9	Q9CRD2	Q8N4W9
E2RGZ7	Q08DB4	P14646	O35711	P59536
F1PL93	F1MXV4	Q99MZ8	Q9QWL7	Q86TG7
F1PWF5	A7MBJ0	A0A0G2JTY4	Q8R359	P02654
D0VYJ3	A2VDX8	A0A0H2UHG3	Q60932	Q93097
E2R6Q2	P19858	G3V7T6	P62751	Q9Y618
E2RDU9	F1MCQ5	P06349	O54833	P15692
J9NW81	G3X7P3	M0R907	Q5D0E0	Q6UWQ5
F1PBB6	E1BM34	D3ZN37	Q8BH73	Q9ULJ1
F1Q1K6	G3N3W3	D3ZTN0	P58252	Q9NPD3
E2RA21	Q0VCN1	D4ACS3	Q9JK37	Q14728
F1PHR6	P28782	Q75PQ8	Q9D0R2	P10635
F6Y4G8	Q29RS9	Q5XIL3	P46460	Q969V1
E2R429	F1MPQ0	P19490	Q8K3J1	Q9NWR8
F1PGL4	B0JYP5	G3V681	Q99KG3	Q8NCB2
E2QRU9	Q3ZCA2	P84092	D3YTQ3	Q8N944
F1PKY9	G5E582	Q6IRF5	P62881	O43316
F1PNT8	F1MLP7	Q27W01	Q69Z99	A2RUC4
E2RDK9	F1ME83	F1M0H0	E9PZ16	P12544
E2QUZ4	E1BN47	Q2EJA0	P62307	P04198
F1PIA2	F1MKZ7	A0A0G2JTP3	O08537	P55283
J9NST7	Q29RZ0	D4A3E3	Q9D8W5	Q969Z3
F1PU52	A5D7I3	A0A0G2K948	Q8C754	P49589
E2QV08	A0JNE9	Q62703	Q8R010	Q96T60
F1Q2M3	P61287	P62828	Q7TPV4	Q9UHD1
F1Q3W0	Q24JZ8	P60517	Q91VR7	Q9H3M0
J9NSE5	Q0VCB4	G3V6S4	A2AUU0	Q9Y278
J9JHH7	E1BM72	B2RYL8	P53566	Q6UX40
E2RSU7	Q3ZC44	F1M3U4	P60843	O43427
E2RLL6	Q0VC27	Q60587	Q02257	P20155
F6XRY2	G5E631	F1M953	P61979	P05019
J9P436	Q0VCG4	D3ZZ20	Q8VCK7	Q9BQS7
F6URT7	Q28044	P29067	P35486	P55957
J9P891	F1MMA0	B0BN81	Q7TMY8	Q8TCJ0
J9NW73	E1BC42	D3ZBH0	P61089	P00488
J9P3H2	Q2TBL3	P19493	Q9DC70	Q6PYX1
F1PUQ2	F1N3F6	F7EVX2	Q9CQQ7	O60296
E2RBC3	G5E505	O70436	P83887	P50747
E2QRT0	A5D7Q4	P68101	Q9QYJ0	A4D1J9
F1PHP1	G3MX56	Q9QZP1	P53762	O60281
E2QWG8	G3N214	A0A0G2K9S1	Q9D8M4	Q9Y4F1
E2RBE8	F1MPG0	A0A0G2KB98	Q61221	P60033
F1PRA0	F1MYH4	D3ZHI3	P97461	Q9BXJ4
F1PAT6	F1MI32	B1WBQ7	Q62261	Q96QD8
E2RFB4	Q2HJ97	Q07936	Q6PDQ2	Q6PH85
E2RGP7	Q3SYW6	Q99NH5	E9PWY2	Q6PI98
E2RS27	Q0VCQ6	Q5XI26	Q9JM76	P78347
F1PQT9	Q9XSW5	Q62865	Q9D1E6	Q8N7B9
F1P7W6	E1BE68	D3Z854	Q04841	Q9Y3Q4
P05124	F1MJX4	Q9Z2L0	Q9CX86	Q96HN2
F1PH18	Q2KIS5	F1M771	B2RQ30	Q3KQZ1
E2R485	E1BEA1	D3ZS24	Q32M26	Q5T4D3
J9P0C2	Q2KJC1	Q8CFN2	D3Z1S8	P62879
E2R4Q9	Q0IID9	D3ZZL5	Q8BMT0	Q8IYS8
B6V8E6	F1MYP4	B2RZB7	Q8CGC7	P58215
E2RA48	A7MBD4	A0A0G2JSW0	Q3U0V1	Q02446
E2R052	A0A140T848	A0A0G2K654	D3YXK2	P55291
F6Y5R7	Q2YDI2	F1LRD7	Q3TBT3	P01127
F1Q0B0	G3MZ18	Q3B8Q2	F8VQI6	Q00796
P61162	E1BAC1	A0A0H2UHP0	Q641K5	O75474
E2R182	F1MJ63	D3ZV90	P97440	O43556
F1PCG4	G3MZC7	O08651	Q64012	Q567U6
F6XYS8	E1B9N7	Q3KRC6	Q9WTP7	Q32MK9
F6PMP8	A6QLS5	D4AAV9	Q69ZZ6	Q70HW3
F1Q1X9	A0A140T856	A0A0G2K9D6	O55234	P13671
E2R6E4	F1N727	B1H2A6	Q3UEB3	B2RBR9
P62872	A7YWK4	Q32PX2	Q8BZH4	Q9H816
E2RIC4	Q3B7N2	P83888	P25206	Q8NC96
E2RDN5	E1BC15	F1MAJ8	Q9DA15	D6RGH6
J9NTC9	Q08DW2	D3ZWW3	Q5U4E2	Q9NR80
E2QVP6	Q3SX24	Q01714	Q9D4H8	Q08380
E2RRK1	A6H788	D3ZA49	Q6DFW4	B1AK53
F6V3D2	E1BK43	P51111	Q8VHK8	Q96JE7
E2RMN1	F1MPU0	Q3MHS9	P11983	Q96S42
F1PPH7	E1BJG5	G3V6N1	P97311	O94763
E2R8S0	G3X6R6	D4A634	O35310	Q15053
J9NYY2	A6H7F8	D4A9D6	Q3U741	P07737
E2RL65	F2Z4F0	Q66H80	Q9WU78	O15519
F1PEK2	M0QVZ4	D3ZRB5	A2AUK5	Q06250
F1PUP7	Q3T0I4	Q8CGX0	P68372	Q9Y4G8
F1PX67	E1BKX3	Q9QXQ0	P62996	Q9NS87
J9PBC5	A0JN52	M0RCY2	Q7TMK9	O94952
F1PB67	Q08D91	F1LNF7	P05784	Q9HB96
Q5U820	F1N453	P62815	P70347	P23771
E2RDL8	Q3SWY3	A0A0G2K8W9	Q8BKC5	Q5TAQ9
E2RCH3	G3X6E6	Q66H50	Q9Z1T1	A8K6V7
F1PAF3	A0JN83	D3ZAT7	Q8BG54	Q5H9L4
F6XEE7	E1BBI3	D3ZVJ3	Q61456	Q86Z02
F1PF79	Q56JX6	Q5U4F0	Q922U1	O00534
E2RL62	F1MMU4	G3V8A5	P19324	Q6IMI6
F1P8U8	A7MB16	B5DFB2	P97313	O60645
J9NYH3	G1K130	B2RZ12	Q68FG3	Q3B7J2
F1PV61	G3MYD5	P11475	P30285	Q03013
F1PN11	F1N2P3	Q5XIM7	P39689	Q9BZ23
F1PQK2	Q0VCA9	Q99P84	Q62520	Q8IZK4
F6XHG2	E1BK14	D4A3T5	E9PWG2	Q8NFH5
F6UZ83	Q2HJ23	E9PTS4	Q8R2Q6	B5ME19
E2RQK0	Q5E9Q6	P36877	P29595	Q9BX72
E2RIY3	E1BBH4	D3ZMB0	A0A0R4J0J7	Q9BQI3
F1PHY9	E1BDF9	F1LVK3	B1AT66	A2RRL9
F1Q4I1	Q3SZN4	D4A7R3	P17047	Q9NWG8
E2R7K2	Q3B8S0	B2RYB3	F8VPR5	Q2M243
J9NTQ6	G3N0H1	M0R807	E9Q564	Q9C0A6
E2QWV5	Q32PE9	A0A140TAA1	Q6PGF5	P55211
Q28264	F1MR96	A0A0G2K5G9	P40124	P38432
E2RBR5	Q2KIR8	F1LPF2	Q9QZ41	O75838
E2QY53	Q3SZH2	F1M6I9	Q5BLK4	P30460
E2RIQ2	F1MZU2	F1MAA5	Q5SUH6	P62876
F1P8X2	E1BIG2	O09139	Q91WL8	Q7KZI7
F1PVY6	A0JN39	Q4KLI7	Q99M87	O95149
E2RD62	P19034	G3V7I1	P59055	Q03591
F1PUX4	F1MBQ8	Q6IMY8	Q9D0E1	P16930
F1PER0	A6QQA2	Q6IE75	Q99LW0	Q10587
F1PS11	P16068	P10247	Q62048	O43719
F1PIC7	A1A4K3	A0A0G2K2M9	P80314	Q96JH7
J9P3M1	Q3B7M5	P50503	Q8BSQ9	Q9UI36
E2R9F8	Q0P568	P63164	P17427	O43490
E2R5F3	Q08DQ4	Q2THW7	P84084	P06126
F1PN49	A4IFB8	Q66HR2	O55201	P98161
E2QWT7	E1BPZ0	A0A096MIS5	P32848	A6NMS7
J9PBC0	F1MXZ5	D4A7Z6	Q8BLJ3	Q9NTI5
E2RT63	F2Z4C1	P63088	P80316	Q8NBJ5
E2RBB8	F1MRX4	P07150	Q8VE37	Q8N4E4
E2RNY1	F1MQU4	B2RZ74	Q8CIE6	Q9NS86
F1PFR7	P01211	Q64548	P31532	P41247
A1XD97	F1MYP2	G3V826	P11679	Q75QN2
Q9TU16	Q2KIN5	Q5XID7	Q6NZN1	Q8NHH1
E2QUU5	Q5E9B1	D3ZRE3	O09106	Q6UWU4
F1PFG6	E1BDS6	F1LR36	P14094	O76095
E2RGQ5	E1BGR6	Q3B8N8	Q62376	Q5TEJ8
E2RNC7	F1MD25	P52303	A2AKY4	Q6IQ55
E2QTC7	E1BDU0	D4AE02	Q91YT7	A1A4Y4
