co702 rt428
co3230 rt11576
co13219 rt942
co3386 rt3013
co3386 rt4542
co9300 rt2628
co4710 rt748
co2637 rt1739
co8628 rt2933
co9103 rt3164
co3369 rt4937
co13344 rt2697
co13344 rt8914
co205 rt3775
co6848 rt6404
co11894 rt6404
co10408 rt984
co8676 rt1573
co14094 rt1573
co3584 rt9700
co10651 rt4597
co8733 rt6346
co6598 rt1586
co595 rt9209
co2412 rt4370
co11815 rt3104
co2568 rt6387
co5113 rt6387
co2154 rt4551
co64 rt10057
co13955 rt5188
co4610 rt8513
co12823 rt3091
co6380 rt50
co1604 rt5270
co1604 rt7716
co1604 rt14632
co8089 rt3871
co4599 rt3417
co269 rt9608
co3542 rt2418
co3542 rt15627
co857 rt1200
co1417 rt369
co8066 rt1526
co6573 rt5472
co445 rt335
co909 rt3391
co7516 rt5146
co3986 rt2914
co3986 rt5828
co4649 rt618
co4649 rt3271
co2726 rt11984
co280 rt6144
co14514 rt262
co8344 rt1132
co12922 rt1257
co11926 rt2979
co11926 rt6072
co11926 rt12690
co10093 rt3724
co1478 rt3273
co6433 rt7916
co3410 rt3515
co8339 rt9745
co14306 rt9745
co7927 rt2611
co767 rt2391
co767 rt4396
co686 rt12538
co4722 rt3012
co3002 rt7658
co7013 rt419
co2105 rt2668
co9831 rt11756
co3876 rt14808
co12406 rt14808
co971 rt5020
co1009 rt10275
co826 rt8169
co7319 rt7227
co11318 rt1109
co1462 rt615
co1570 rt12729
co7826 rt3111
co1571 rt954
co5848 rt15605
co6477 rt750
co6477 rt1493
co6477 rt3434
co9018 rt4315
co106 rt2432
co6704 rt4777
co6042 rt3433
co1824 rt3269
co326 rt10302
co980 rt11258
co12970 rt342
co12970 rt11273
co197 rt5113
co10392 rt15436
co12576 rt10413
co10938 rt1046
co2085 rt8211
co669 rt5424
co10711 rt4655
co3012 rt1647
co3311 rt12207
co3311 rt15006
co6225 rt2346
co9539 rt1820
co11081 rt1820
co819 rt4520
co3404 rt4520
co2911 rt2248
co4651 rt4387
co5081 rt9783
co4760 rt30
co1368 rt3992
co10047 rt5347
co10909 rt13066
co10909 rt15421
co9059 rt6095
co7801 rt2120
co7418 rt832
co966 rt844
co3808 rt844
co6608 rt3194
co7397 rt3194
co3566 rt12721
co2923 rt13948
co4897 rt2648
co4163 rt2582
co13249 rt12574
co7268 rt11538
co7063 rt1695
co4557 rt11834
co14657 rt5282
co14657 rt11098
co3713 rt7155
co8502 rt5914
co12850 rt5571
co3817 rt1398
co3817 rt4635
co8148 rt9693
co2426 rt1718
co200 rt1263
co5550 rt4392
co4388 rt3826
co10166 rt3826
co3073 rt3869
co3073 rt7392
co7494 rt3908
co6988 rt150
co8028 rt5519
co8028 rt12232
co8028 rt15261
co3396 rt3996
co4620 rt15466
co4893 rt15466
co779 rt5252
co11975 rt5252
co4007 rt9134
co7689 rt10984
co9598 rt2105
co9598 rt6049
co10257 rt8991
co3654 rt6037
co727 rt3110
co4854 rt6914
co10076 rt4819
co488 rt5243
co8315 rt5257
co6647 rt7381
co9313 rt10362
co8384 rt490
co5379 rt2928
co5379 rt15111
co23 rt7995
co23 rt15683
co7671 rt1850
co1532 rt8177
co6802 rt556
co14153 rt529
co14688 rt581
co6058 rt663
co10493 rt1006
co1655 rt1030
co3481 rt1180
co7608 rt1488
co11997 rt1501
co13655 rt1666
co3987 rt1680
co13297 rt1757
co9698 rt1851
co8879 rt1890
co8661 rt2016
co11296 rt2116
co10765 rt2677
co12866 rt2773
co10395 rt2818
co4080 rt2863
co5745 rt2863
co2097 rt3051
co859 rt3233
co9859 rt3249
co10595 rt3342
co13820 rt3617
co1906 rt3853
co10219 rt3866
co5663 rt3891
co5400 rt3909
co10499 rt3962
co4665 rt4091
co4733 rt4230
co10253 rt4501
co1168 rt4622
co452 rt4681
co5058 rt4752
co10814 rt4826
co10021 rt4844
co10537 rt4924
co7031 rt5104
co7633 rt5218
co4509 rt5250
co7730 rt5314
co13324 rt5461
co14722 rt5827
co354 rt5849
co497 rt5917
co9974 rt6064
co5805 rt6102
co2962 rt6193
co4552 rt6209
co8875 rt6212
co11050 rt6394
co7818 rt6601
co2500 rt6774
co3633 rt6894
co6272 rt6907
co3667 rt7118
co14738 rt7316
co10767 rt7492
co8044 rt7538
co317 rt7624
co12727 rt7708
co8878 rt7718
co7771 rt7970
co14108 rt8035
co13495 rt8101
co459 rt8146
co7077 rt8275
co8460 rt8323
co9852 rt8476
co2645 rt8616
co14371 rt8794
co817 rt8804
co3815 rt8804
co10332 rt8805
co10986 rt8949
co4761 rt9032
co10084 rt9107
co4512 rt9239
co13175 rt9395
co13327 rt9539
co11626 rt9550
co11862 rt9739
co8587 rt9797
co10164 rt9843
co14516 rt9855
co607 rt9890
co13563 rt9894
co9626 rt9913
co7591 rt9930
co14191 rt9981
co11554 rt10067
co6502 rt10267
co2512 rt10585
co10373 rt10780
co11074 rt10830
co11956 rt10886
co9356 rt11002
co12308 rt11057
co1611 rt11239
co10297 rt11375
co2546 rt1749
co2546 rt11633
co10180 rt11837
co1148 rt11845
co4108 rt11913
co7693 rt11951
co12115 rt11957
co4320 rt11960
co9089 rt12012
co10698 rt12055
co101 rt12074
co10713 rt12106
co12347 rt12121
co13610 rt12129
co1689 rt12134
co551 rt12297
co12644 rt12299
co5691 rt12311
co5197 rt12444
co5552 rt12460
co3878 rt12533
co7634 rt12565
co9068 rt12565
co6107 rt12569
co7315 rt12717
co8981 rt12734
co8981 rt12947
co14241 rt12986
co9363 rt13012
co9938 rt13012
co6458 rt13528
co12270 rt13649
co3541 rt13765
co11401 rt12978
co11401 rt13876
co2537 rt14007
co13010 rt14048
co14272 rt14214
co8881 rt14247
co2824 rt14271
co5140 rt14294
co14634 rt14378
co9258 rt14441
co10816 rt8262
co10816 rt14545
co7316 rt14622
co9640 rt14631
co8982 rt4592
co8982 rt14700
co11933 rt14753
co10965 rt14761
co8168 rt14894
co11149 rt14955
co7495 rt14956
co5914 rt15168
co5827 rt15250
co750 rt15378
co842 rt15378
co10458 rt15448
co14603 rt15448
co12328 rt15718
co2444 rt1064
co6383 rt2825
co13498 rt4157
co13045 rt5204
co13045 rt9296
co12002 rt5484
co10740 rt5951
co7529 rt6455
co13057 rt6820
co13005 rt6868
co14360 rt7572
co1915 rt7675
co7082 rt8970
co14370 rt9327
co13840 rt9563
co3612 rt10396
co4679 rt10586
co10281 rt11448
co12255 rt11448
co11501 rt12912
co4273 rt12916
co61 rt13739
co11091 rt13816
co3471 rt14486
co10120 rt15078
co6784 rt15635
co10736 rt15701
co2651 rt7539
co5326 rt14590
co1193 rt7326
co7170 rt7008
co906 rt4316
co8459 rt4316
co3974 rt8610
co3974 rt10195
co13856 rt5826
co8362 rt4601
co6574 rt4432
co10132 rt6385
co9271 rt7752
co3176 rt1494
co11907 rt8798
co14353 rt4136
co6362 rt3763
co9832 rt12865
co7333 rt9799
co11524 rt9799
co3276 rt558
co3276 rt10128
co6132 rt2437
co6132 rt2890
co4971 rt9602
co4971 rt10832
co7542 rt9602
co7542 rt10832
co997 rt2225
co997 rt3254
co997 rt6775
co997 rt6886
co997 rt6982
co997 rt7194
co997 rt9322
co997 rt10254
co3226 rt2225
co3226 rt3254
co3226 rt6775
co3226 rt6886
co3226 rt6982
co3226 rt7194
co3226 rt9322
co3226 rt10254
co5696 rt3948
co8655 rt4173
co8655 rt6614
co8655 rt15675
co14168 rt9521
co641 rt14337
co5884 rt2593
co5884 rt15632
co2181 rt6226
co9008 rt9670
co6912 rt13796
co1538 rt13882
co9352 rt5235
co2059 rt4727
co10485 rt212
co10097 rt5733
co10097 rt9048
co10097 rt9611
co184 rt2854
co184 rt7509
co10151 rt1121
co10151 rt6509
co13153 rt639
co3970 rt9173
co10994 rt9173
co12692 rt677
co2209 rt396
co10507 rt8172
co648 rt8972
co664 rt6797
co8604 rt2700
co8604 rt7220
co14509 rt13509
co5160 rt6131
co8003 rt1794
co8003 rt11513
co14301 rt7442
co12606 rt8574
co14218 rt8574
co13066 rt10775
co2364 rt10643
co5216 rt1342
co6522 rt5307
co13692 rt13475
co776 rt11594
co776 rt14410
co4122 rt11594
co4122 rt14410
co1083 rt8210
co1451 rt4734
co8815 rt1209
co9536 rt9141
co5931 rt2798
co7997 rt10822
co12407 rt1937
co11297 rt11838
co8507 rt13838
co11173 rt8440
co5824 rt7997
co8932 rt7997
co3664 rt7030
co12315 rt13540
co12363 rt3416
co10333 rt8984
co11873 rt8984
co11256 rt4086
co11256 rt8813
co13891 rt5186
co9447 rt5359
co12276 rt1162
co1657 rt11894
co10497 rt11221
co3122 rt4119
co3122 rt5634
co3122 rt14587
co8091 rt6185
co2920 rt6859
co11213 rt1938
co8782 rt2902
co7251 rt9951
co1711 rt4991
co7413 rt4991
co1277 rt10417
co4323 rt11397
co14271 rt15658
co3513 rt8043
co12014 rt4296
co10726 rt3835
co10726 rt8465
co10726 rt10169
co7260 rt4270
co13773 rt12560
co5324 rt14621
co8657 rt12964
co12147 rt10500
co12147 rt15394
co14545 rt11072
co13233 rt1882
co12521 rt8964
co10068 rt8563
co11864 rt8563
co1424 rt6850
co1424 rt9575
co5737 rt3427
co3763 rt11905
co4675 rt1032
co10547 rt1032
co4014 rt10524
co7201 rt9126
co8486 rt9126
co10885 rt6923
co10885 rt9634
co4327 rt9159
co548 rt4978
co14592 rt4978
co12609 rt1641
co10460 rt9802
co10475 rt2653
co14092 rt9081
co7732 rt206
co7732 rt5954
co1890 rt1034
co2 rt887
co11960 rt8664
co1026 rt5580
co8303 rt4504
co12990 rt4962
co12990 rt15729
co8334 rt11638
co12335 rt13884
co5498 rt9047
co4555 rt11719
co4555 rt13146
co4673 rt11719
co4673 rt13146
co3641 rt453
co12547 rt2541
co7731 rt3944
co10523 rt3627
co10523 rt10700
co4187 rt6310
co6829 rt10887
co12739 rt7425
co12590 rt4939
co5074 rt227
co9674 rt1367
co12250 rt11040
co14733 rt15589
co11424 rt11627
co11455 rt9785
co12299 rt9785
co13583 rt11263
co9742 rt10967
co9742 rt12476
co9742 rt13779
co14385 rt10967
co14385 rt12476
co14385 rt13779
co8951 rt8197
co8951 rt11211
co1834 rt4331
co3251 rt6759
co3251 rt10222
co6106 rt14193
co13784 rt1472
co8239 rt10124
co12914 rt1377
co14176 rt101
co14367 rt101
co7247 rt13254
co11362 rt10400
co13946 rt5412
co13946 rt7503
co8978 rt9335
co6335 rt11032
co13423 rt2295
co13423 rt12016
co4811 rt3377
co6836 rt966
co13225 rt5831
co13225 rt13485
co1679 rt14547
co9988 rt5924
co5494 rt13560
co8058 rt6353
co717 rt2294
co717 rt11432
co10356 rt389
co10887 rt2006
co1105 rt13262
co7326 rt12554
co4498 rt3738
co399 rt5868
co399 rt9578
co6688 rt5868
co6688 rt9578
co4466 rt5678
co4466 rt11456
co7235 rt12271
co11259 rt269
co11259 rt4540
co12543 rt11161
co4777 rt4063
co7027 rt9822
co11042 rt3141
co1921 rt12602
co3935 rt11821
co10158 rt9275
co10697 rt9275
co9969 rt2968
co4701 rt4646
co4701 rt12418
co11306 rt5791
co5787 rt1954
co2239 rt10223
co10773 rt10223
co9058 rt5700
co10574 rt3670
co10574 rt6513
co4822 rt5715
co12071 rt9919
co5817 rt180
co10652 rt5736
co10652 rt8808
co5000 rt8045
co13807 rt5842
co12369 rt10102
co12369 rt11143
co1217 rt1086
co1217 rt7419
co8069 rt9727
co7577 rt1791
co13853 rt3588
co4139 rt738
co4139 rt6298
co6066 rt5572
co14165 rt12477
co5209 rt13124
co5091 rt673
co5091 rt12761
co10771 rt673
co10771 rt12761
co8447 rt13357
co6995 rt11498
co5276 rt6909
co41 rt8119
co5403 rt32
co13442 rt15199
co5886 rt4097
co4206 rt15386
co13687 rt3351
co6938 rt457
co13605 rt12547
co2727 rt1778
co2727 rt5294
co12860 rt3590
co3856 rt13103
co10124 rt7590
co13908 rt14868
co13908 rt15653
co4734 rt4117
co13540 rt4117
co8074 rt6171
co11611 rt6171
co606 rt9899
co8751 rt903
co11313 rt15013
co12959 rt7880
co5164 rt2915
co8674 rt975
co6307 rt11840
co9973 rt9778
co6329 rt4060
co6329 rt9713
co1321 rt3030
co14262 rt364
co9030 rt5812
co13567 rt5159
co9912 rt7041
co8276 rt13515
co12247 rt13573
co5389 rt1256
co12955 rt5378
co12955 rt9829
co11886 rt1316
co11102 rt10828
co6908 rt11766
co12841 rt8311
co11123 rt10785
co11123 rt13899
co10003 rt10544
co3192 rt12495
co4609 rt708
co9741 rt4815
co9741 rt15643
co6330 rt10522
co16 rt8312
co8523 rt8312
co8519 rt2573
co11069 rt1918
co5873 rt3198
co8017 rt3878
co10528 rt14659
co13361 rt3556
co9800 rt5866
co9800 rt7934
co4580 rt5379
co13951 rt2155
co4936 rt9028
co4296 rt7232
co10283 rt8248
co10283 rt10485
co5304 rt1415
co14259 rt5750
co3674 rt13778
co5238 rt10783
co7009 rt13826
co8490 rt3500
co7830 rt1119
co7830 rt4102
co5022 rt12996
co8577 rt5098
co2909 rt12220
co13073 rt2847
co13073 rt7945
co7320 rt2435
co12625 rt8763
co7893 rt14140
co14655 rt14420
co8057 rt2207
co8057 rt5529
co8057 rt15311
co4286 rt11715
co6888 rt8519
co14317 rt14056
co4009 rt868
co10741 rt2189
co10741 rt6149
co10741 rt7866
co10741 rt10303
co13896 rt11011
co10933 rt2214
co3384 rt11726
co6560 rt4983
co12358 rt7967
co4024 rt2376
co11601 rt12695
co4023 rt4917
co2224 rt5976
co2224 rt13747
co3957 rt7824
co3874 rt1389
co13160 rt58
co13160 rt13342
co9542 rt3148
co373 rt3726
co12985 rt2747
co8097 rt12107
co12757 rt8049
co2935 rt5015
co2935 rt13788
co7437 rt2586
co7437 rt11855
co1142 rt7355
co2613 rt14562
co1998 rt5195
co10471 rt5784
co11850 rt6979
co8062 rt6963
co8181 rt13233
co7643 rt7936
co1238 rt10974
co13842 rt5918
co10550 rt5591
co8406 rt8342
co8406 rt8939
co13683 rt1378
co6138 rt410
co8764 rt13659
co13591 rt3409
co14006 rt5056
co2659 rt8300
co7327 rt2394
co11133 rt2394
co7347 rt10694
co7347 rt14630
co10759 rt7079
co3865 rt11728
co844 rt818
co3199 rt15669
co374 rt4068
co12471 rt7699
co10300 rt5191
co1020 rt6649
co2182 rt2687
co4495 rt8400
co1863 rt5687
co11608 rt147
co12726 rt11697
co5011 rt8700
co9298 rt1862
co663 rt876
co6979 rt12341
co3255 rt12858
co13252 rt299
co12778 rt6959
co7348 rt877
co12297 rt8792
co8796 rt910
co8796 rt8725
co13570 rt2862
co4823 rt5511
co13525 rt1074
co13525 rt5783
co14067 rt2108
co14067 rt8565
co14067 rt10693
co8042 rt3867
co8042 rt9583
co12153 rt10663
co6904 rt9748
co10145 rt13491
co6642 rt3125
co13439 rt908
co4519 rt8594
co10321 rt5800
co5651 rt3084
co14275 rt1126
co14275 rt11977
co3822 rt14641
co7148 rt7122
co11019 rt10843
co13083 rt10320
co8911 rt11486
co6499 rt6917
co11175 rt6065
co2731 rt14479
co10086 rt3742
co13415 rt12722
co14408 rt7493
co12634 rt9752
co12538 rt14860
co12707 rt4566
co7986 rt5207
co650 rt8463
co9401 rt12443
co11274 rt2650
co6417 rt5489
co4230 rt2780
co1087 rt1568
co8538 rt8538
co12382 rt7731
co11107 rt11008
co10961 rt2416
co11689 rt11794
co423 rt6311
co14555 rt12457
co5806 rt10810
co6045 rt8882
co11429 rt833
co9953 rt5253
co7841 rt2507
co12978 rt10368
co12788 rt8667
co2076 rt6792
co5633 rt1553
co8952 rt12276
co14520 rt12201
co3427 rt13743
co4061 rt387
